Month start date,case count
2013-01-01,10.0
2013-02-01,12.0
2013-03-01,14.0
2013-04-01,23.0
2013-05-01,24.0
2013-06-01,20.0
2013-07-01,143.0
2013-08-01,674.0
2013-09-01,1289.0
2013-10-01,1473.0
2013-11-01,922.0
2013-12-01,79.0
2014-01-01,14.0
2014-02-01,10.0
2014-03-01,17.0
2014-04-01,5.0
2014-05-01,23.0
2014-06-01,25.0
2014-07-01,155.0
2014-08-01,787.0
2014-09-01,14759.0
2014-10-01,28796.0
2014-11-01,2560.0
2014-12-01,180.0
2015-01-01,19.0
2015-02-01,22.0
2015-03-01,25.0
2015-04-01,20.0
2015-05-01,26.0
2015-06-01,43.0
2015-07-01,130.0
