Month start date,case count
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,31.0
2013-04-01,100.0
2013-05-01,2.0
2013-06-01,0.0
2013-07-01,2.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,4.0
2013-11-01,3.0
2013-12-01,5.0
2014-01-01,127.0
2014-02-01,99.0
2014-03-01,24.0
2014-04-01,23.0
2014-05-01,16.0
2014-06-01,2.0
2014-07-01,1.0
2014-08-01,2.0
2014-09-01,2.0
2014-10-01,1.0
2014-11-01,9.0
2014-12-01,19.0
2015-01-01,83.0
2015-02-01,59.0
2015-03-01,20.0
2015-04-01,6.0
2015-05-01,15.0
2015-06-01,5.0
2015-07-01,0.0
