Month start date,H7N9,HFMD,Dengue
2013-01-01,0.0,3585.0,1.0
2013-02-01,0.0,10560.0,84.0
2013-03-01,0.0,73581.0,65.0
2013-04-01,163.0,840480.0,675.0
2013-05-01,56.0,738730.0,1022.0
2013-06-01,7.0,216643.0,282.0
2013-07-01,13.0,56979.0,1776.0
2013-08-01,2.0,20650.0,1397.0
2013-09-01,2.0,22172.0,2481.0
2013-10-01,4.0,31215.0,795.0
2013-11-01,2.0,17169.0,496.0
2013-12-01,2.0,18062.0,1127.0
2014-01-01,104.0,91108.0,2287.0
2014-02-01,48.0,411245.0,5271.0
2014-03-01,13.0,451459.0,896.0
2014-04-01,7.0,424039.0,416.0
2014-05-01,2.0,491893.0,766.0
2014-06-01,2.0,247962.0,1018.0
2014-07-01,0.0,1760.0,29.0
2014-08-01,1.0,29830.0,1692.0
2014-09-01,1.0,63069.0,11264.0
2014-10-01,4.0,86744.0,13984.0
2014-11-01,11.0,68946.0,1450.0
