Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,34.0
2013-04-15,218.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,252.0
2013-05-13,0.0
2013-05-20,346.0
2013-05-27,325.0
2013-06-03,0.0
2013-06-10,0.0
2013-06-17,558.0
2013-06-24,568.0
2013-07-01,0.0
2013-07-08,0.0
2013-07-15,800.0
2013-07-22,0.0
2013-07-29,0.0
2013-08-05,0.0
2013-08-12,679.0
2013-08-19,0.0
2013-08-26,0.0
2013-09-02,0.0
2013-09-09,0.0
2013-09-16,0.0
2013-09-23,0.0
2013-09-30,520.0
2013-10-07,521.0
2013-10-14,412.0
2013-10-21,570.0
2013-10-28,928.0
2013-11-04,978.0
2013-11-11,72.0
2013-11-18,439.0
2013-11-25,378.0
2013-12-02,415.0
2013-12-09,423.0
2013-12-16,334.0
2013-12-23,338.0
2013-12-30,278.0
2014-01-06,228.0
2014-01-13,199.0
2014-01-20,182.0
2014-01-27,235.0
2014-02-03,355.0
2014-02-10,330.0
2014-02-17,226.0
2014-02-24,179.0
2014-03-03,150.0
2014-03-10,119.0
2014-03-17,101.0
2014-03-24,90.0
2014-03-31,107.0
2014-04-07,113.0
2014-04-14,115.0
2014-04-21,121.0
2014-04-28,117.0
2014-05-05,111.0
2014-05-12,128.0
2014-05-19,156.0
2014-05-26,157.0
2014-06-02,149.0
2014-06-09,210.0
2014-06-16,334.0
2014-06-23,351.0
2014-06-30,350.0
2014-07-07,402.0
2014-07-14,390.0
2014-07-21,380.0
2014-07-28,516.0
2014-08-04,949.0
2014-08-11,883.0
2014-08-18,1017.0
2014-08-25,1279.0
2014-09-01,745.0
2014-09-08,387.0
2014-09-15,398.0
2014-09-22,436.0
2014-09-29,422.0
2014-10-06,445.0
2014-10-13,352.0
2014-10-20,262.0
2014-10-27,256.0
2014-11-03,215.0
2014-11-10,371.0
2014-11-17,412.0
2014-11-24,232.0
2014-12-01,177.0
2014-12-08,315.0
2014-12-15,321.0
2014-12-22,197.0
