Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,33.0
2013-04-22,0.0
2013-04-29,32.0
2013-05-06,31.0
2013-05-13,34.0
2013-05-20,40.0
2013-05-27,0.0
2013-06-03,0.0
2013-06-10,70.0
2013-06-17,122.0
2013-06-24,190.0
2013-07-01,88.0
2013-07-08,41.0
2013-07-15,235.0
2013-07-22,253.0
2013-07-29,341.0
2013-08-05,135.0
2013-08-12,44.0
2013-08-19,118.0
2013-08-26,320.0
2013-09-02,0.0
2013-09-09,0.0
2013-09-16,777.0
2013-09-23,886.0
2013-09-30,0.0
2013-10-07,0.0
2013-10-14,0.0
2013-10-21,0.0
2013-10-28,961.0
2013-11-04,376.0
2013-11-11,244.0
2013-11-18,176.0
2013-11-25,165.0
2013-12-02,204.0
2013-12-09,183.0
2013-12-16,137.0
2013-12-23,115.0
2013-12-30,112.0
2014-01-06,110.0
2014-01-13,104.0
2014-01-20,99.0
2014-01-27,109.0
2014-02-03,95.0
2014-02-10,90.0
2014-02-17,86.0
2014-02-24,84.0
2014-03-03,82.0
2014-03-10,82.0
2014-03-17,96.0
2014-03-24,95.0
2014-03-31,84.0
2014-04-07,77.0
2014-04-14,74.0
2014-04-21,78.0
2014-04-28,130.0
2014-05-05,99.0
2014-05-12,109.0
2014-05-19,87.0
2014-05-26,123.0
2014-06-02,92.0
2014-06-09,88.0
2014-06-16,155.0
2014-06-23,96.0
2014-06-30,83.0
2014-07-07,95.0
2014-07-14,76.0
2014-07-21,66.0
2014-07-28,65.0
2014-08-04,93.0
2014-08-11,90.0
2014-08-18,75.0
2014-08-25,84.0
2014-09-01,115.0
2014-09-08,525.0
2014-09-15,651.0
2014-09-22,301.0
2014-09-29,258.0
2014-10-06,164.0
2014-10-13,191.0
2014-10-20,152.0
2014-10-27,192.0
2014-11-03,132.0
2014-11-10,189.0
2014-11-17,116.0
2014-11-24,121.0
2014-12-01,140.0
2014-12-08,98.0
2014-12-15,107.0
2014-12-22,113.0
