Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,0.0
2013-05-20,0.0
2013-05-27,70.0
2013-06-03,0.0
2013-06-10,0.0
2013-06-17,6.0
2013-06-24,1.0
2013-07-01,80.0
2013-07-08,33.0
2013-07-15,0.0
2013-07-22,0.0
2013-07-29,0.0
2013-08-05,0.0
2013-08-12,0.0
2013-08-19,0.0
2013-08-26,0.0
2013-09-02,113.0
2013-09-09,0.0
2013-09-16,145.0
2013-09-23,0.0
2013-09-30,72.0
2013-10-07,29.0
2013-10-14,152.0
2013-10-21,129.0
2013-10-28,0.0
2013-11-04,0.0
2013-11-11,107.0
2013-11-18,58.0
2013-11-25,66.0
2013-12-02,92.0
2013-12-09,0.0
2013-12-16,78.0
2013-12-23,55.0
2013-12-30,46.0
2014-01-06,39.0
2014-01-13,33.0
2014-01-20,29.0
2014-01-27,26.0
2014-02-03,24.0
2014-02-10,23.0
2014-02-17,24.0
2014-02-24,25.0
2014-03-03,23.0
2014-03-10,21.0
2014-03-17,19.0
2014-03-24,18.0
2014-03-31,17.0
2014-04-07,17.0
2014-04-14,16.0
2014-04-21,15.0
2014-04-28,15.0
2014-05-05,14.0
2014-05-12,15.0
2014-05-19,16.0
2014-05-26,15.0
2014-06-02,15.0
2014-06-09,15.0
2014-06-16,88.0
2014-06-23,105.0
2014-06-30,156.0
2014-07-07,97.0
2014-07-14,83.0
2014-07-21,71.0
2014-07-28,68.0
2014-08-04,60.0
2014-08-11,59.0
2014-08-18,55.0
2014-08-25,55.0
2014-09-01,58.0
2014-09-08,77.0
2014-09-15,82.0
2014-09-22,41.0
2014-09-29,61.0
2014-10-06,62.0
2014-10-13,66.0
2014-10-20,50.0
2014-10-27,54.0
2014-11-03,53.0
2014-11-10,74.0
2014-11-17,78.0
2014-11-24,42.0
2014-12-01,69.0
2014-12-08,58.0
2014-12-15,58.0
2014-12-22,56.0
