Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,207.0
2013-05-13,0.0
2013-05-20,0.0
2013-05-27,0.0
2013-06-03,798.0
2013-06-10,1409.0
2013-06-17,0.0
2013-06-24,1376.0
2013-07-01,0.0
2013-07-08,0.0
2013-07-15,0.0
2013-07-22,712.0
2013-07-29,0.0
2013-08-05,906.0
2013-08-12,742.0
2013-08-19,918.0
2013-08-26,637.0
2013-09-02,1291.0
2013-09-09,866.0
2013-09-16,0.0
2013-09-23,0.0
2013-09-30,0.0
2013-10-07,0.0
2013-10-14,507.0
2013-10-21,0.0
2013-10-28,910.0
2013-11-04,1009.0
2013-11-11,133.0
2013-11-18,335.0
2013-11-25,423.0
2013-12-02,417.0
2013-12-09,480.0
2013-12-16,285.0
2013-12-23,349.0
2013-12-30,279.0
2014-01-06,221.0
2014-01-13,165.0
2014-01-20,185.0
2014-01-27,255.0
2014-02-03,375.0
2014-02-10,350.0
2014-02-17,197.0
2014-02-24,158.0
2014-03-03,149.0
2014-03-10,106.0
2014-03-17,102.0
2014-03-24,89.0
2014-03-31,114.0
2014-04-07,122.0
2014-04-14,109.0
2014-04-21,119.0
2014-04-28,113.0
2014-05-05,113.0
2014-05-12,125.0
2014-05-19,164.0
2014-05-26,157.0
2014-06-02,145.0
2014-06-09,207.0
2014-06-16,363.0
2014-06-23,374.0
2014-06-30,327.0
2014-07-07,399.0
2014-07-14,404.0
2014-07-21,357.0
2014-07-28,523.0
2014-08-04,0.0
2014-08-11,966.0
2014-08-18,977.0
2014-08-25,1309.0
2014-09-01,734.0
2014-09-08,443.0
2014-09-15,428.0
2014-09-22,461.0
2014-09-29,424.0
2014-10-06,461.0
2014-10-13,375.0
2014-10-20,262.0
2014-10-27,251.0
2014-11-03,206.0
2014-11-10,0.0
2014-11-17,406.0
2014-11-24,231.0
2014-12-01,174.0
2014-12-08,302.0
2014-12-15,332.0
2014-12-22,194.0
