Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,51.0
2013-05-13,0.0
2013-05-20,0.0
2013-05-27,0.0
2013-06-03,0.0
2013-06-10,79.0
2013-06-17,221.0
2013-06-24,143.0
2013-07-01,67.0
2013-07-08,38.0
2013-07-15,0.0
2013-07-22,206.0
2013-07-29,364.0
2013-08-05,84.0
2013-08-12,70.0
2013-08-19,121.0
2013-08-26,465.0
2013-09-02,1339.0
2013-09-09,706.0
2013-09-16,1148.0
2013-09-23,1099.0
2013-09-30,1879.0
2013-10-07,873.0
2013-10-14,0.0
2013-10-21,677.0
2013-10-28,996.0
2013-11-04,1547.0
2013-11-11,854.0
2013-11-18,438.0
2013-11-25,382.0
2013-12-02,403.0
2013-12-09,142.0
2013-12-16,74.0
2013-12-23,0.0
2013-12-30,0.0
2014-01-06,0.0
2014-01-13,12.0
2014-01-20,0.0
2014-01-27,46.0
2014-02-03,0.0
2014-02-10,0.0
2014-02-17,0.0
2014-02-24,0.0
2014-03-03,53.0
2014-03-10,20.0
2014-03-17,0.0
2014-03-24,0.0
2014-03-31,0.0
2014-04-07,148.0
2014-04-14,124.0
2014-04-21,0.0
2014-04-28,165.0
2014-05-05,0.0
2014-05-12,0.0
2014-05-19,68.0
2014-05-26,149.0
2014-06-02,81.0
2014-06-09,0.0
2014-06-16,47.0
2014-06-23,76.0
2014-06-30,408.0
2014-07-07,219.0
2014-07-14,152.0
2014-07-21,215.0
2014-07-28,182.0
2014-08-04,60.0
2014-08-11,10.0
2014-08-18,87.0
2014-08-25,192.0
2014-09-01,0.0
2014-09-08,0.0
2014-09-15,422.0
2014-09-22,384.0
2014-09-29,444.0
2014-10-06,213.0
2014-10-13,322.0
2014-10-20,335.0
2014-10-27,374.0
2014-11-03,401.0
2014-11-10,950.0
2014-11-17,678.0
2014-11-24,487.0
2014-12-01,367.0
2014-12-08,180.0
2014-12-15,0.0
2014-12-22,106.0
