Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,0.0
2013-05-20,39.0
2013-05-27,0.0
2013-06-03,3.0
2013-06-10,3.0
2013-06-17,5.0
2013-06-24,5.0
2013-07-01,94.0
2013-07-08,18.0
2013-07-15,136.0
2013-07-22,38.0
2013-07-29,110.0
2013-08-05,95.0
2013-08-12,0.0
2013-08-19,46.0
2013-08-26,160.0
2013-09-02,0.0
2013-09-09,0.0
2013-09-16,0.0
2013-09-23,0.0
2013-09-30,0.0
2013-10-07,77.0
2013-10-14,0.0
2013-10-21,0.0
2013-10-28,0.0
2013-11-04,66.0
2013-11-11,0.0
2013-11-18,0.0
2013-11-25,84.0
2013-12-02,0.0
2013-12-09,102.0
2013-12-16,0.0
2013-12-23,109.0
2013-12-30,0.0
2014-01-06,90.0
2014-01-13,0.0
2014-01-20,0.0
2014-01-27,0.0
2014-02-03,80.0
2014-02-10,111.0
2014-02-17,62.0
2014-02-24,71.0
2014-03-03,94.0
2014-03-10,105.0
2014-03-17,50.0
2014-03-24,11.0
2014-03-31,2.0
2014-04-07,67.0
2014-04-14,72.0
2014-04-21,31.0
2014-04-28,82.0
2014-05-05,25.0
2014-05-12,22.0
2014-05-19,38.0
2014-05-26,26.0
2014-06-02,10.0
2014-06-09,0.0
2014-06-16,0.0
2014-06-23,0.0
2014-06-30,0.0
2014-07-07,0.0
2014-07-14,0.0
2014-07-21,0.0
2014-07-28,0.0
2014-08-04,0.0
2014-08-11,78.0
2014-08-18,71.0
2014-08-25,64.0
2014-09-01,0.0
2014-09-08,0.0
2014-09-15,0.0
2014-09-22,0.0
2014-09-29,0.0
2014-10-06,0.0
2014-10-13,0.0
2014-10-20,0.0
2014-10-27,79.0
2014-11-03,141.0
2014-11-10,0.0
2014-11-17,0.0
2014-11-24,0.0
2014-12-01,0.0
2014-12-08,0.0
2014-12-15,0.0
2014-12-22,0.0
