Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,935.0
2013-05-20,0.0
2013-05-27,0.0
2013-06-03,0.0
2013-06-10,0.0
2013-06-17,0.0
2013-06-24,1339.0
2013-07-01,0.0
2013-07-08,534.0
2013-07-15,1271.0
2013-07-22,0.0
2013-07-29,0.0
2013-08-05,0.0
2013-08-12,1035.0
2013-08-19,0.0
2013-08-26,0.0
2013-09-02,0.0
2013-09-09,0.0
2013-09-16,0.0
2013-09-23,0.0
2013-09-30,0.0
2013-10-07,583.0
2013-10-14,0.0
2013-10-21,688.0
2013-10-28,937.0
2013-11-04,1047.0
2013-11-11,48.0
2013-11-18,0.0
2013-11-25,0.0
2013-12-02,0.0
2013-12-09,0.0
2013-12-16,0.0
2013-12-23,328.0
2013-12-30,285.0
2014-01-06,220.0
2014-01-13,160.0
2014-01-20,181.0
2014-01-27,246.0
2014-02-03,385.0
2014-02-10,359.0
2014-02-17,232.0
2014-02-24,169.0
2014-03-03,141.0
2014-03-10,106.0
2014-03-17,95.0
2014-03-24,87.0
2014-03-31,108.0
2014-04-07,118.0
2014-04-14,114.0
2014-04-21,117.0
2014-04-28,117.0
2014-05-05,115.0
2014-05-12,126.0
2014-05-19,159.0
2014-05-26,161.0
2014-06-02,151.0
2014-06-09,204.0
2014-06-16,347.0
2014-06-23,377.0
2014-06-30,351.0
2014-07-07,396.0
2014-07-14,408.0
2014-07-21,369.0
2014-07-28,508.0
2014-08-04,1113.0
2014-08-11,951.0
2014-08-18,986.0
2014-08-25,1313.0
2014-09-01,755.0
2014-09-08,397.0
2014-09-15,393.0
2014-09-22,442.0
2014-09-29,412.0
2014-10-06,454.0
2014-10-13,371.0
2014-10-20,251.0
2014-10-27,245.0
2014-11-03,203.0
2014-11-10,355.0
2014-11-17,417.0
2014-11-24,238.0
2014-12-01,169.0
2014-12-08,297.0
2014-12-15,338.0
2014-12-22,205.0
