Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,0.0
2013-05-20,0.0
2013-05-27,0.0
2013-06-03,130.0
2013-06-10,0.0
2013-06-17,180.0
2013-06-24,0.0
2013-07-01,62.0
2013-07-08,35.0
2013-07-15,72.0
2013-07-22,256.0
2013-07-29,0.0
2013-08-05,0.0
2013-08-12,0.0
2013-08-19,127.0
2013-08-26,508.0
2013-09-02,1079.0
2013-09-09,0.0
2013-09-16,0.0
2013-09-23,0.0
2013-09-30,1880.0
2013-10-07,716.0
2013-10-14,0.0
2013-10-21,1078.0
2013-10-28,0.0
2013-11-04,0.0
2013-11-11,0.0
2013-11-18,410.0
2013-11-25,335.0
2013-12-02,386.0
2013-12-09,123.0
2013-12-16,50.0
2013-12-23,0.0
2013-12-30,0.0
2014-01-06,0.0
2014-01-13,9.0
2014-01-20,0.0
2014-01-27,57.0
2014-02-03,0.0
2014-02-10,0.0
2014-02-17,0.0
2014-02-24,0.0
2014-03-03,58.0
2014-03-10,14.0
2014-03-17,0.0
2014-03-24,0.0
2014-03-31,0.0
2014-04-07,131.0
2014-04-14,128.0
2014-04-21,0.0
2014-04-28,188.0
2014-05-05,0.0
2014-05-12,0.0
2014-05-19,58.0
2014-05-26,158.0
2014-06-02,76.0
2014-06-09,0.0
2014-06-16,46.0
2014-06-23,78.0
2014-06-30,365.0
2014-07-07,231.0
2014-07-14,139.0
2014-07-21,189.0
2014-07-28,181.0
2014-08-04,43.0
2014-08-11,10.0
2014-08-18,78.0
2014-08-25,180.0
2014-09-01,0.0
2014-09-08,0.0
2014-09-15,464.0
2014-09-22,391.0
2014-09-29,480.0
2014-10-06,210.0
2014-10-13,319.0
2014-10-20,315.0
2014-10-27,393.0
2014-11-03,395.0
2014-11-10,927.0
2014-11-17,694.0
2014-11-24,392.0
2014-12-01,281.0
2014-12-08,102.0
2014-12-15,83.0
2014-12-22,88.0
