Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,343.0
2013-04-29,213.0
2013-05-06,274.0
2013-05-13,291.0
2013-05-20,326.0
2013-05-27,320.0
2013-06-03,499.0
2013-06-10,468.0
2013-06-17,424.0
2013-06-24,903.0
2013-07-01,786.0
2013-07-08,897.0
2013-07-15,571.0
2013-07-22,1012.0
2013-07-29,793.0
2013-08-05,944.0
2013-08-12,711.0
2013-08-19,1001.0
2013-08-26,697.0
2013-09-02,1283.0
2013-09-09,677.0
2013-09-16,1021.0
2013-09-23,451.0
2013-09-30,686.0
2013-10-07,673.0
2013-10-14,736.0
2013-10-21,710.0
2013-10-28,748.0
2013-11-04,758.0
2013-11-11,403.0
2013-11-18,432.0
2013-11-25,610.0
2013-12-02,630.0
2013-12-09,617.0
2013-12-16,418.0
2013-12-23,576.0
2013-12-30,472.0
2014-01-06,458.0
2014-01-13,382.0
2014-01-20,379.0
2014-01-27,381.0
2014-02-03,431.0
2014-02-10,459.0
2014-02-17,360.0
2014-02-24,341.0
2014-03-03,235.0
2014-03-10,161.0
2014-03-17,155.0
2014-03-24,121.0
2014-03-31,140.0
2014-04-07,169.0
2014-04-14,147.0
2014-04-21,163.0
2014-04-28,134.0
2014-05-05,144.0
2014-05-12,185.0
2014-05-19,237.0
2014-05-26,213.0
2014-06-02,199.0
2014-06-09,228.0
2014-06-16,346.0
2014-06-23,354.0
2014-06-30,340.0
2014-07-07,428.0
2014-07-14,417.0
2014-07-21,397.0
2014-07-28,491.0
2014-08-04,830.0
2014-08-11,780.0
2014-08-18,878.0
2014-08-25,1187.0
2014-09-01,748.0
2014-09-08,467.0
2014-09-15,443.0
2014-09-22,510.0
2014-09-29,495.0
2014-10-06,464.0
2014-10-13,409.0
2014-10-20,317.0
2014-10-27,360.0
2014-11-03,270.0
2014-11-10,393.0
2014-11-17,399.0
2014-11-24,328.0
2014-12-01,286.0
2014-12-08,374.0
2014-12-15,369.0
2014-12-22,256.0
