Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,48.0
2013-04-22,44.0
2013-04-29,32.0
2013-05-06,27.0
2013-05-13,43.0
2013-05-20,56.0
2013-05-27,59.0
2013-06-03,143.0
2013-06-10,95.0
2013-06-17,112.0
2013-06-24,150.0
2013-07-01,129.0
2013-07-08,79.0
2013-07-15,89.0
2013-07-22,125.0
2013-07-29,331.0
2013-08-05,119.0
2013-08-12,104.0
2013-08-19,106.0
2013-08-26,139.0
2013-09-02,645.0
2013-09-09,190.0
2013-09-16,758.0
2013-09-23,950.0
2013-09-30,2052.0
2013-10-07,2026.0
2013-10-14,163.0
2013-10-21,1464.0
2013-10-28,466.0
2013-11-04,0.0
2013-11-11,0.0
2013-11-18,0.0
2013-11-25,0.0
2013-12-02,0.0
2013-12-09,0.0
2013-12-16,0.0
2013-12-23,63.0
2013-12-30,240.0
2014-01-06,0.0
2014-01-13,128.0
2014-01-20,249.0
2014-01-27,237.0
2014-02-03,297.0
2014-02-10,269.0
2014-02-17,293.0
2014-02-24,279.0
2014-03-03,276.0
2014-03-10,287.0
2014-03-17,265.0
2014-03-24,229.0
2014-03-31,263.0
2014-04-07,240.0
2014-04-14,313.0
2014-04-21,215.0
2014-04-28,237.0
2014-05-05,528.0
2014-05-12,96.0
2014-05-19,351.0
2014-05-26,316.0
2014-06-02,41.0
2014-06-09,223.0
2014-06-16,206.0
2014-06-23,64.0
2014-06-30,447.0
2014-07-07,211.0
2014-07-14,208.0
2014-07-21,205.0
2014-07-28,259.0
2014-08-04,339.0
2014-08-11,169.0
2014-08-18,201.0
2014-08-25,178.0
2014-09-01,213.0
2014-09-08,243.0
2014-09-15,233.0
2014-09-22,257.0
2014-09-29,214.0
2014-10-06,244.0
2014-10-13,213.0
2014-10-20,386.0
2014-10-27,289.0
2014-11-03,227.0
2014-11-10,222.0
2014-11-17,237.0
2014-11-24,228.0
2014-12-01,228.0
2014-12-08,205.0
2014-12-15,176.0
2014-12-22,167.0
