Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,4.0
2013-04-15,3.0
2013-04-22,2.0
2013-04-29,4.0
2013-05-06,4.0
2013-05-13,0.0
2013-05-20,11.0
2013-05-27,129.0
2013-06-03,25.0
2013-06-10,7.0
2013-06-17,5.0
2013-06-24,11.0
2013-07-01,77.0
2013-07-08,101.0
2013-07-15,167.0
2013-07-22,77.0
2013-07-29,86.0
2013-08-05,195.0
2013-08-12,225.0
2013-08-19,148.0
2013-08-26,0.0
2013-09-02,41.0
2013-09-09,80.0
2013-09-16,74.0
2013-09-23,70.0
2013-09-30,130.0
2013-10-07,220.0
2013-10-14,0.0
2013-10-21,0.0
2013-10-28,0.0
2013-11-04,0.0
2013-11-11,0.0
2013-11-18,0.0
2013-11-25,0.0
2013-12-02,70.0
2013-12-09,62.0
2013-12-16,82.0
2013-12-23,37.0
2013-12-30,48.0
2014-01-06,48.0
2014-01-13,73.0
2014-01-20,72.0
2014-01-27,71.0
2014-02-03,49.0
2014-02-10,64.0
2014-02-17,64.0
2014-02-24,63.0
2014-03-03,61.0
2014-03-10,59.0
2014-03-17,44.0
2014-03-24,61.0
2014-03-31,55.0
2014-04-07,46.0
2014-04-14,68.0
2014-04-21,99.0
2014-04-28,82.0
2014-05-05,38.0
2014-05-12,62.0
2014-05-19,52.0
2014-05-26,51.0
2014-06-02,51.0
2014-06-09,46.0
2014-06-16,64.0
2014-06-23,57.0
2014-06-30,53.0
2014-07-07,62.0
2014-07-14,85.0
2014-07-21,61.0
2014-07-28,62.0
2014-08-04,82.0
2014-08-11,61.0
2014-08-18,60.0
2014-08-25,61.0
2014-09-01,63.0
2014-09-08,66.0
2014-09-15,66.0
2014-09-22,65.0
2014-09-29,64.0
2014-10-06,66.0
2014-10-13,66.0
2014-10-20,65.0
2014-10-27,64.0
2014-11-03,63.0
2014-11-10,67.0
2014-11-17,67.0
2014-11-24,67.0
2014-12-01,67.0
2014-12-08,67.0
2014-12-15,67.0
2014-12-22,66.0
