Epi week start date,case count estimate
2013-04-01,323.0
2013-04-08,206.0
2013-04-15,187.0
2013-04-22,377.0
2013-04-29,234.0
2013-05-06,266.0
2013-05-13,277.0
2013-05-20,300.0
2013-05-27,298.0
2013-06-03,344.0
2013-06-10,467.0
2013-06-17,562.0
2013-06-24,567.0
2013-07-01,718.0
2013-07-08,634.0
2013-07-15,754.0
2013-07-22,986.0
2013-07-29,820.0
2013-08-05,803.0
2013-08-12,777.0
2013-08-19,840.0
2013-08-26,581.0
2013-09-02,1103.0
2013-09-09,936.0
2013-09-16,1082.0
2013-09-23,649.0
2013-09-30,552.0
2013-10-07,590.0
2013-10-14,467.0
2013-10-21,601.0
2013-10-28,661.0
2013-11-04,837.0
2013-11-11,510.0
2013-11-18,599.0
2013-11-25,475.0
2013-12-02,460.0
2013-12-09,563.0
2013-12-16,343.0
2013-12-23,443.0
2013-12-30,335.0
2014-01-06,290.0
2014-01-13,276.0
2014-01-20,257.0
2014-01-27,337.0
2014-02-03,471.0
2014-02-10,415.0
2014-02-17,225.0
2014-02-24,207.0
2014-03-03,211.0
2014-03-10,167.0
2014-03-17,161.0
2014-03-24,159.0
2014-03-31,187.0
2014-04-07,192.0
2014-04-14,172.0
2014-04-21,185.0
2014-04-28,168.0
2014-05-05,158.0
2014-05-12,182.0
2014-05-19,226.0
2014-05-26,204.0
2014-06-02,182.0
2014-06-09,271.0
2014-06-16,442.0
2014-06-23,422.0
2014-06-30,357.0
2014-07-07,446.0
2014-07-14,421.0
2014-07-21,377.0
2014-07-28,573.0
2014-08-04,1028.0
2014-08-11,964.0
2014-08-18,988.0
2014-08-25,1271.0
2014-09-01,727.0
2014-09-08,400.0
2014-09-15,415.0
2014-09-22,454.0
2014-09-29,439.0
2014-10-06,461.0
2014-10-13,372.0
2014-10-20,282.0
2014-10-27,281.0
2014-11-03,238.0
2014-11-10,390.0
2014-11-17,431.0
2014-11-24,247.0
2014-12-01,195.0
2014-12-08,340.0
2014-12-15,348.0
2014-12-22,209.0
