Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,0.0
2013-05-20,0.0
2013-05-27,0.0
2013-06-03,0.0
2013-06-10,0.0
2013-06-17,0.0
2013-06-24,0.0
2013-07-01,0.0
2013-07-08,0.0
2013-07-15,0.0
2013-07-22,160.0
2013-07-29,466.0
2013-08-05,188.0
2013-08-12,174.0
2013-08-19,145.0
2013-08-26,214.0
2013-09-02,592.0
2013-09-09,290.0
2013-09-16,434.0
2013-09-23,867.0
2013-09-30,1820.0
2013-10-07,439.0
2013-10-14,800.0
2013-10-21,678.0
2013-10-28,646.0
2013-11-04,620.0
2013-11-11,591.0
2013-11-18,566.0
2013-11-25,549.0
2013-12-02,530.0
2013-12-09,508.0
2013-12-16,479.0
2013-12-23,456.0
2013-12-30,436.0
2014-01-06,435.0
2014-01-13,418.0
2014-01-20,404.0
2014-01-27,379.0
2014-02-03,366.0
2014-02-10,352.0
2014-02-17,340.0
2014-02-24,329.0
2014-03-03,318.0
2014-03-10,330.0
2014-03-17,320.0
2014-03-24,311.0
2014-03-31,309.0
2014-04-07,301.0
2014-04-14,294.0
2014-04-21,291.0
2014-04-28,284.0
2014-05-05,280.0
2014-05-12,274.0
2014-05-19,270.0
2014-05-26,265.0
2014-06-02,221.0
2014-06-09,252.0
2014-06-16,214.0
2014-06-23,212.0
2014-06-30,217.0
2014-07-07,203.0
2014-07-14,198.0
2014-07-21,194.0
2014-07-28,204.0
2014-08-04,197.0
2014-08-11,187.0
2014-08-18,191.0
2014-08-25,185.0
2014-09-01,342.0
2014-09-08,389.0
2014-09-15,209.0
2014-09-22,255.0
2014-09-29,208.0
2014-10-06,241.0
2014-10-13,210.0
2014-10-20,243.0
2014-10-27,199.0
2014-11-03,243.0
2014-11-10,196.0
2014-11-17,205.0
2014-11-24,217.0
2014-12-01,190.0
2014-12-08,198.0
2014-12-15,201.0
2014-12-22,184.0
