Epi week start date,case count estimate
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,0.0
2013-05-20,0.0
2013-05-27,0.0
2013-06-03,0.0
2013-06-10,0.0
2013-06-17,0.0
2013-06-24,0.0
2013-07-01,112.0
2013-07-08,51.0
2013-07-15,78.0
2013-07-22,39.0
2013-07-29,0.0
2013-08-05,70.0
2013-08-12,132.0
2013-08-19,119.0
2013-08-26,114.0
2013-09-02,110.0
2013-09-09,105.0
2013-09-16,118.0
2013-09-23,112.0
2013-09-30,118.0
2013-10-07,114.0
2013-10-14,135.0
2013-10-21,128.0
2013-10-28,129.0
2013-11-04,131.0
2013-11-11,126.0
2013-11-18,124.0
2013-11-25,118.0
2013-12-02,118.0
2013-12-09,113.0
2013-12-16,109.0
2013-12-23,105.0
2013-12-30,101.0
2014-01-06,98.0
2014-01-13,95.0
2014-01-20,92.0
2014-01-27,89.0
2014-02-03,65.0
2014-02-10,69.0
2014-02-17,67.0
2014-02-24,80.0
2014-03-03,78.0
2014-03-10,76.0
2014-03-17,74.0
2014-03-24,55.0
2014-03-31,53.0
2014-04-07,52.0
2014-04-14,48.0
2014-04-21,47.0
2014-04-28,46.0
2014-05-05,45.0
2014-05-12,44.0
2014-05-19,34.0
2014-05-26,36.0
2014-06-02,34.0
2014-06-09,51.0
2014-06-16,75.0
2014-06-23,73.0
2014-06-30,72.0
2014-07-07,71.0
2014-07-14,72.0
2014-07-21,70.0
2014-07-28,71.0
2014-08-04,70.0
2014-08-11,70.0
2014-08-18,69.0
2014-08-25,70.0
2014-09-01,71.0
2014-09-08,75.0
2014-09-15,74.0
2014-09-22,73.0
2014-09-29,73.0
2014-10-06,74.0
2014-10-13,74.0
2014-10-20,73.0
2014-10-27,72.0
2014-11-03,71.0
2014-11-10,75.0
2014-11-17,75.0
2014-11-24,75.0
2014-12-01,75.0
2014-12-08,75.0
2014-12-15,74.0
2014-12-22,73.0
