Epi week start date,case count
2013-01-14,0.0
2013-01-21,37.0
2013-01-28,39.0
2013-02-04,45.0
2013-02-11,165.0
2013-02-18,53.0
2013-02-25,266.0
2013-03-04,498.0
2013-03-11,286.0
2013-03-18,125.0
2013-03-25,113.0
2013-04-01,10.0
2013-04-08,91.0
2013-04-15,546.0
2013-04-22,206.0
2013-04-29,521.0
2013-05-06,376.0
2013-05-13,535.0
2013-05-20,276.0
2013-05-27,904.0
2013-06-03,882.0
2013-06-10,727.0
2013-06-17,599.0
2013-06-24,889.0
2013-07-01,520.0
2013-07-08,1221.0
2013-07-15,754.0
2013-07-22,924.0
2013-07-29,675.0
2013-08-05,1033.0
2013-08-12,443.0
2013-08-19,1277.0
2013-08-26,859.0
2013-09-02,1240.0
2013-09-09,688.0
2013-09-16,490.0
2013-09-23,615.0
2013-09-30,378.0
2013-10-07,533.0
2013-10-14,641.0
2013-10-21,1356.0
2013-10-28,333.0
2013-11-04,90.0
2013-11-11,509.0
2013-11-18,179.0
2013-11-25,711.0
2013-12-02,85.0
2013-12-09,404.0
2013-12-16,226.0
2013-12-23,143.0
2013-12-30,158.0
2014-01-06,116.0
2014-01-13,153.0
2014-01-20,411.0
2014-01-27,476.0
2014-02-03,111.0
2014-02-10,41.0
2014-02-17,136.0
2014-02-24,32.0
2014-03-03,67.0
2014-03-10,25.0
2014-03-17,63.0
2014-03-24,129.0
2014-03-31,56.0
2014-04-07,121.0
2014-04-14,82.0
2014-04-21,90.0
2014-04-28,68.0
2014-05-05,181.0
2014-05-12,161.0
2014-05-19,114.0
2014-05-26,125.0
2014-06-02,417.0
2014-06-09,522.0
2014-06-16,256.0
2014-06-23,437.0
2014-06-30,504.0
2014-07-07,278.0
2014-07-14,469.0
2014-07-21,913.0
2014-07-28,1533.0
2014-08-04,690.0
2014-08-11,1788.0
2014-08-18,907.0
2014-08-25,394.0
2014-09-01,333.0
2014-09-08,468.0
2014-09-15,429.0
2014-09-22,422.0
2014-09-29,501.0
2014-10-06,125.0
2014-10-13,300.0
2014-10-20,105.0
2014-10-27,210.0
2014-11-03,562.0
2014-11-10,262.0
2014-11-17,29.0
2014-11-24,170.0
2014-12-01,469.0
2014-12-08,143.0
2014-12-15,59.0
2014-12-22,518.0
2014-12-29,425.0
2015-01-05,134.0
2015-01-12,314.0
