Epi week start date,case count
2013-01-14,56.0
2013-01-21,0.0
2013-01-28,80.0
2013-02-04,0.0
2013-02-11,0.0
2013-02-18,0.0
2013-02-25,12.0
2013-03-04,28.0
2013-03-11,62.0
2013-03-18,50.0
2013-03-25,36.0
2013-04-01,75.0
2013-04-08,34.0
2013-04-15,25.0
2013-04-22,22.0
2013-04-29,43.0
2013-05-06,67.0
2013-05-13,74.0
2013-05-20,153.0
2013-05-27,166.0
2013-06-03,83.0
2013-06-10,251.0
2013-06-17,101.0
2013-06-24,68.0
2013-07-01,0.0
2013-07-08,231.0
2013-07-15,343.0
2013-07-22,417.0
2013-07-29,74.0
2013-08-05,85.0
2013-08-12,91.0
2013-08-19,620.0
2013-08-26,1408.0
2013-09-02,172.0
2013-09-09,767.0
2013-09-16,1421.0
2013-09-23,2151.0
2013-09-30,79.0
2013-10-07,3572.0
2013-10-14,32.0
2013-10-21,103.0
2013-10-28,146.0
2013-11-04,48.0
2013-11-11,67.0
2013-11-18,190.0
2013-11-25,112.0
2013-12-02,15.0
2013-12-09,0.0
2013-12-16,17.0
2013-12-23,17.0
2013-12-30,11.0
2014-01-06,0.0
2014-01-13,40.0
2014-01-20,0.0
2014-01-27,0.0
2014-02-03,0.0
2014-02-10,0.0
2014-02-17,0.0
2014-02-24,0.0
2014-03-03,41.0
2014-03-10,30.0
2014-03-17,6.0
2014-03-24,0.0
2014-03-31,0.0
2014-04-07,0.0
2014-04-14,145.0
2014-04-21,14.0
2014-04-28,77.0
2014-05-05,0.0
2014-05-12,125.0
2014-05-19,15.0
2014-05-26,12.0
2014-06-02,211.0
2014-06-09,0.0
2014-06-16,15.0
2014-06-23,65.0
2014-06-30,6.0
2014-07-07,0.0
2014-07-14,0.0
2014-07-21,76.0
2014-07-28,49.0
2014-08-04,10.0
2014-08-11,50.0
2014-08-18,32.0
2014-08-25,901.0
2014-09-01,1250.0
2014-09-08,26.0
2014-09-15,326.0
2014-09-22,33.0
2014-09-29,250.0
2014-10-06,61.0
2014-10-13,276.0
2014-10-20,0.0
2014-10-27,286.0
2014-11-03,0.0
2014-11-10,72.0
2014-11-17,153.0
2014-11-24,0.0
2014-12-01,62.0
2014-12-08,93.0
2014-12-15,0.0
2014-12-22,133.0
2014-12-29,0.0
2015-01-05,43.0
2015-01-12,26.0
