Tuple,count
"('common', ('India', u'Maharashtra'), '2013-02-11')",2
"('number', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('violation', ('India', u'West Bengal'), '2013-01-21')",1
"('result', ('India', u'Chandigarh'), '2013-06-03')",1
"('week', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('even', ('India', u'Kerala'), '2013-05-27')",1
"('large', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('rural', ('India', u'Kerala'), '2013-06-10')",1
"('work', ('India', u'Maharashtra'), '2013-02-11')",1
"('bid', ('India', u'Kerala'), '2013-05-06')",1
"('would', ('India', u'Maharashtra'), '2013-05-20')",1
"('nearly', ('India', u'Maharashtra'), '2013-02-11')",1
"('confirmed', ('India', u'Karnataka'), '2013-05-20')",2
"('password', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('lassa', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('fall', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('concern', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('demand', ('India', u'Karnataka'), '2013-04-22')",1
"('suggest', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('sheet', ('India', u'Punjab'), '2013-04-08')",1
"('area', ('India', u'Chhattisgarh'), '2013-03-18')",1
"('authority', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('mistakenly', ('India', u'Maharashtra'), '2013-04-15')",1
"('last', ('India', u'Maharashtra'), '2013-04-15')",2
"('alert', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('shell', ('India', 'Kerala'), '2013-05-13')",1
"('kalahandi', ('India', u'Orissa'), '2013-04-22')",1
"('start', ('India', u'Maharashtra'), '2013-02-11')",1
"('migration', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fun', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('across', ('India', u'Maharashtra'), '2013-06-10')",1
"('stop', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('cold', ('India', u'Chandigarh'), '2013-06-03')",1
"('check', ('India', u'Delhi'), '2013-05-20')",1
"('watchman', ('India', u'Maharashtra'), '2013-04-15')",1
"('madam', ('India', u'Bihar'), '2013-05-20')",1
"('release', ('India', u'Orissa'), '2013-04-22')",1
"('track', ('India', u'Kerala'), '2013-05-06')",1
"('case', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('civic', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('anganwadis', ('India', u'Karnataka'), '2013-06-10')",1
"('tertiary', ('India', u'Kerala'), '2013-06-03')",1
"('precautionary', ('India', u'Karnataka'), '2013-05-27')",1
"('mining', ('India', u'Karnataka'), '2013-06-10')",1
"('current', ('India', u'Karnataka'), '2013-06-03')",1
"('issued', ('India', u'Haryana'), '2013-05-06')",1
"('high', ('India', u'Karnataka'), '2013-06-10')",1
"('form', ('India', u'Karnataka'), '2013-04-22')",1
"('science', ('India', u'Karnataka'), '2013-06-10')",2
"('decrease', ('India', u'Maharashtra'), '2013-02-11')",1
"('awareness', ('India', u'Kerala'), '2013-05-13')",1
"('guideline', ('India', u'Madhya Pradesh'), '2013-02-25')",2
"('tamil', ('India', u'Kerala'), '2013-05-27')",1
"('actual', ('India', u'West Bengal'), '2013-01-21')",1
"('like', ('India', u'Punjab'), '2013-01-21')",1
"('person', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('please', ('India', u'Karnataka'), '2013-06-10')",1
"('governance', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('rich', ('India', u'Goa'), '2013-04-01')",1
"('poisoning', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('mirror', ('India', u'Kerala'), '2013-05-13')",1
"('genuine', ('India', u'Kerala'), '2013-06-03')",2
"('rarely', ('India', u'Karnataka'), '2013-04-22')",1
"('killer', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('bid', ('India', u'Karnataka'), '2013-06-10')",1
"('attack', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('khan', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('senapati', ('India', u'Maharashtra'), '2013-06-10')",1
"('woman', ('India', u'Karnataka'), '2013-05-27')",1
"('reduce', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('good', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('sheik', ('India', u'Kerala'), '2013-05-06')",1
"('borne', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('area', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('saturation', ('India', u'Karnataka'), '2013-06-10')",1
"('smartphone', ('India', u'Karnataka'), '2013-04-22')",1
"('help', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('assembly', ('India', u'Karnataka'), '2013-06-10')",1
"('bangalore', ('India', u'Orissa'), '2013-04-22')",1
"('career', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('three', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('award', ('India', u'Karnataka'), '2013-06-10')",1
"('sure', ('India', u'Maharashtra'), '2013-02-11')",1
"('biharsharif', ('India', u'Bihar'), '2013-05-20')",1
"('water', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('claim', ('India', u'West Bengal'), '2013-01-21')",1
"('today', ('India', u'Madhya Pradesh'), '2013-02-11')",1
"('head', ('India', u'Punjab'), '2013-01-21')",1
"('several', ('India', u'Maharashtra'), '2013-02-11')",1
"('people', ('India', u'Karnataka'), '2013-05-20')",1
"('information', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('worker', ('India', u'Orissa'), '2013-04-22')",1
"('say', ('India', u'Kerala'), '2013-05-06')",1
"('bangalore', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('dior', ('India', u'Karnataka'), '2013-06-10')",1
"('massive', ('India', u'Karnataka'), '2013-04-22')",1
"('around', ('India', u'Delhi'), '2013-05-20')",1
"('rapist', ('India', u'Karnataka'), '2013-04-22')",1
"('show', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('marilyn', ('India', u'Karnataka'), '2013-04-22')",1
"('kapurthala', ('India', u'Punjab'), '2013-01-21')",1
"('support', ('India', u'Maharashtra'), '2013-01-21')",1
"('spur', ('India', u'Karnataka'), '2013-06-10')",1
"('target', ('India', u'Karnataka'), '2013-06-10')",1
"('hepatitis', ('India', u'Kerala'), '2013-06-03')",2
"('mandarmani', ('India', u'West Bengal'), '2013-01-21')",1
"('find', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('season', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('note', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('whopping', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('obscene', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('rename', ('India', u'Karnataka'), '2013-04-22')",1
"('government', ('India', u'Madhya Pradesh'), '2013-02-25')",1
"('aej', ('India', u'Maharashtra'), '2013-02-11')",1
"('hire', ('India', u'Karnataka'), '2013-06-10')",1
"('producer', ('India', u'Punjab'), '2013-04-08')",1
"('village', ('India', u'Uttar Pradesh'), '2013-05-06')",1
"('cease', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('fall', ('India', u'Karnataka'), '2013-04-22')",1
"('today', ('India', u'Maharashtra'), '2013-01-21')",1
"('finding', ('India', u'Madhya Pradesh'), '2013-03-04')",1
"('alarm', ('India', u'Kerala'), '2013-06-10')",1
"('aggrieved', ('India', u'Karnataka'), '2013-05-20')",1
"('team', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('service', ('India', u'Maharashtra'), '2013-02-11')",1
"('find', ('India', u'Karnataka'), '2013-04-22')",1
"('vomit', ('India', u'Punjab'), '2013-04-08')",1
"('indicate', ('India', u'Kerala'), '2013-05-27')",1
"('organize', ('India', u'Andhra Pradesh'), '2013-01-07')",1
"('control', ('India', u'Kerala'), '2013-06-03')",1
"('time', ('India', u'Maharashtra'), '2013-05-20')",1
"('build', ('India', u'Kerala'), '2013-05-06')",1
"('emailed', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('jankars', ('India', u'Kerala'), '2013-06-03')",1
"('effort', ('India', u'Karnataka'), '2013-05-20')",1
"('may', ('India', u'Maharashtra'), '2013-04-15')",1
"('district', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('national', ('India', u'Karnataka'), '2013-06-10')",2
"('president', ('India', u'Kerala'), '2013-05-06')",1
"('magic', ('India', u'Karnataka'), '2013-06-10')",1
"('teck', ('India', u'Madhya Pradesh'), '2013-04-01')",1
"('metro', ('India', u'West Bengal'), '2013-05-06')",1
"('get', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('success', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('day', ('India', u'Karnataka'), '2013-04-22')",1
"('due', ('India', u'Delhi'), '2013-05-20')",1
"('hear', ('India', u'Delhi'), '2013-05-20')",1
"('top', ('India', u'Punjab'), '2013-04-08')",1
"('news', ('India', u'Rajasthan'), '2013-04-22')",1
"('guaranteed', ('India', u'Uttar Pradesh'), '2013-04-29')",1
"('larva', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('anil', ('India', u'Punjab'), '2013-06-10')",1
"('corporation', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('run', ('India', u'Karnataka'), '2013-06-10')",2
"('salundi', ('India', u'Karnataka'), '2013-06-03')",2
"('valiyangadi', ('India', u'Kerala'), '2013-06-10')",1
"('perceptual', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('source', ('India', u'Kerala'), '2013-05-27')",2
"('struggling', ('India', u'Karnataka'), '2013-04-22')",1
"('tell', ('India', u'Madhya Pradesh'), '2013-06-10')",1
"('deputy', ('India', u'Haryana'), '2013-05-06')",1
"('kakkilya', ('India', u'Karnataka'), '2013-05-27')",1
"('asian', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('due', ('India', u'Uttar Pradesh'), '2013-05-20')",2
"('australia', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('number', ('India', u'Kerala'), '2013-06-10')",2
"('saudi', ('India', 'Kerala'), '2013-05-13')",1
"('group', ('India', u'Kerala'), '2013-05-06')",1
"('data', ('India', u'Kerala'), '2013-06-10')",1
