Tuple,count
"('common', ('India', u'Maharashtra'), '2013-02-11')",2
"('present', ('India', u'Goa'), '2013-01-21')",1
"('vellore', ('India', u'Madhya Pradesh'), '2013-07-29')",1
"('address', ('India', u'Maharashtra'), '2013-08-26')",1
"('dhamaal', ('India', u'Chhattisgarh'), '2013-07-15')",1
"('herald', ('India', u'Delhi'), '2013-09-02')",1
"('result', ('India', u'Chandigarh'), '2013-06-03')",1
"('illegal', ('India', u'Maharashtra'), '2013-09-02')",1
"('mosquito', ('India', u'Madhya Pradesh'), '2013-08-19')",2
"('appearance', ('India', u'Punjab'), '2013-09-09')",1
"('iran', ('India', u'Delhi'), '2013-09-16')",1
"('supper', ('India', u'Tamil Nadu'), '2013-09-30')",1
"('xxxxxx', ('India', u'Gujarat'), '2013-08-26')",1
"('compare', ('India', u'Maharashtra'), '2013-07-08')",1
"('overreact', ('India', u'Gujarat'), '2013-09-23')",1
"('teen', ('India', u'Jharkhand'), '2013-09-16')",1
"('presidential', ('India', u'Karnataka'), '2013-09-09')",1
"('collate', ('India', u'Maharashtra'), '2013-09-09')",1
"('team', ('India', u'Madhya Pradesh'), '2013-07-22')",1
"('online', ('India', u'Maharashtra'), '2013-08-12')",1
"('crush', ('India', u'Assam'), '2013-07-29')",1
"('new', ('India', u'Uttar Pradesh'), '2013-07-15')",2
"('daily', ('India', u'Bihar'), '2013-09-23')",1
"('meerut', ('India', u'Delhi'), '2013-09-16')",1
"('vessel', ('India', u'Rajasthan'), '2013-09-30')",1
"('post', ('India', u'Karnataka'), '2013-08-12')",1
"('resulting', ('India', u'Delhi'), '2013-09-23')",1
"('fall', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('expert', ('India', u'Bihar'), '2013-09-16')",1
"('note', ('India', u'Uttar Pradesh'), '2013-05-27')",1
"('high', ('India', u'Haryana'), '2013-07-22')",3
"('officer', ('India', u'Andhra Pradesh'), '2013-08-12')",1
"('sheet', ('India', u'Punjab'), '2013-04-08')",1
"('remote', ('India', u'Tamil Nadu'), '2013-09-23')",1
"('casualty', ('India', u'Tamil Nadu'), '2013-09-16')",2
"('carelessness', ('India', u'Uttar Pradesh'), '2013-08-12')",1
"('mark', ('India', u'Delhi'), '2013-07-08')",1
"('jankars', ('India', u'Kerala'), '2013-06-03')",1
"('deadline', ('India', u'Orissa'), '2013-08-26')",1
"('alert', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('accept', ('India', u'Haryana'), '2013-09-30')",1
"('monthly', ('India', u'Kerala'), '2013-08-19')",1
"('shell', ('India', 'Kerala'), '2013-05-13')",1
"('tie', ('India', u'Delhi'), '2013-09-02')",1
"('confirm', ('India', u'Goa'), '2013-04-01')",1
"('available', ('India', u'Uttaranchal'), '2013-06-24')",1
"('say', ('India', u'Gujarat'), '2013-09-23')",2
"('examination', ('India', u'Gujarat'), '2013-09-02')",1
"('season', ('India', u'Delhi'), '2013-09-16')",1
"('abusive', ('India', u'Delhi'), '2013-09-23')",5
"('obscene', ('India', u'Madhya Pradesh'), '2013-07-22')",1
"('suggest', ('India', u'Maharashtra'), '2013-06-17')",1
"('muscle', ('India', u'Assam'), '2013-08-26')",1
"('cold', ('India', u'Chandigarh'), '2013-06-03')",1
"('chattejee', ('India', u'Delhi'), '2013-09-16')",1
"('inflammatory', ('India', u'Punjab'), '2013-07-22')",1
"('fete', ('India', u'Delhi'), '2013-09-23')",1
"('patrol', ('India', u'Assam'), '2013-09-30')",1
"('kolkata', ('India', u'Himachal Pradesh'), '2013-08-05')",1
"('odisha', ('India', u'Delhi'), '2013-07-15')",1
"('madam', ('India', u'Bihar'), '2013-05-20')",1
"('terror', ('India', u'Uttar Pradesh'), '2013-09-23')",2
"('administration', ('India', u'Orissa'), '2013-07-29')",1
"('rejection', ('India', u'Karnataka'), '2013-07-15')",1
"('treatment', ('India', u'Punjab'), '2013-08-19')",1
"('tikamgarh', ('India', u'Madhya Pradesh'), '2013-09-16')",1
"('provide', ('India', u'Kerala'), '2013-06-03')",2
"('test', ('India', u'Assam'), '2013-09-30')",1
"('move', ('India', u'Madhya Pradesh'), '2013-08-19')",1
"('doctor', ('India', u'Maharashtra'), '2013-09-16')",3
"('outside', ('India', u'Himachal Pradesh'), '2013-08-05')",2
"('danger', ('India', u'Goa'), '2013-05-27')",1
"('data', ('India', u'Bihar'), '2013-07-15')",1
"('aziz', ('India', u'Maharashtra'), '2013-09-16')",1
"('continue', ('India', u'Uttar Pradesh'), '2013-08-19')",1
"('day', ('India', u'Himachal Pradesh'), '2013-06-24')",1
"('directive', ('India', u'Kerala'), '2013-06-17')",1
"('brad', ('India', u'Karnataka'), '2013-06-10')",1
"('app', ('India', u'Haryana'), '2013-07-22')",1
"('news', ('India', u'Maharashtra'), '2013-09-02')",2
"('treat', ('India', u'Punjab'), '2013-09-09')",2
"('upa', ('India', u'Orissa'), '2013-07-29')",1
"('dipping', ('India', u'Madhya Pradesh'), '2013-08-19')",1
"('asian', ('India', u'Madhya Pradesh'), '2013-08-26')",1
"('summon', ('India', u'Chhattisgarh'), '2013-07-15')",1
"('science', ('India', u'Karnataka'), '2013-06-10')",2
"('relief', ('India', u'Gujarat'), '2013-09-09')",1
"('bone', ('India', u'Tamil Nadu'), '2013-09-16')",1
"('gian', ('India', u'Punjab'), '2013-10-07')",1
"('shell', ('India', u'Goa'), '2013-04-01')",1
"('actual', ('India', u'West Bengal'), '2013-01-21')",1
"('arrest', ('India', u'Punjab'), '2013-08-12')",1
"('confirmed', ('India', u'Kerala'), '2013-08-19')",1
"('lack', ('India', u'Orissa'), '2013-07-15')",1
"('public', ('India', u'Karnataka'), '2013-09-09')",1
"('symptom', ('India', u'Maharashtra'), '2013-07-29')",1
"('potential', ('India', u'Delhi'), '2013-09-30')",1
"('across', ('India', u'Orissa'), '2013-09-02')",1
"('mirror', ('India', u'Maharashtra'), '2013-07-15')",1
"('flow', ('India', u'Orissa'), '2013-07-15')",1
"('assault', ('India', u'Haryana'), '2013-07-22')",1
"('note', ('India', u'Uttar Pradesh'), '2013-08-05')",1
"('else', ('India', u'Chhattisgarh'), '2013-07-15')",2
"('puri', ('India', u'Orissa'), '2013-07-29')",1
"('kenchalagudu', ('India', u'Karnataka'), '2013-05-20')",1
"('due', ('India', u'Chhattisgarh'), '2013-07-01')",1
"('insurance', ('India', u'Karnataka'), '2013-07-01')",1
"('strew', ('India', u'Uttaranchal'), '2013-06-24')",1
"('self', ('India', u'Goa'), '2013-07-22')",1
"('hoist', ('India', u'Andhra Pradesh'), '2013-08-12')",1
"('bad', ('India', u'Himachal Pradesh'), '2013-08-05')",1
"('orissa', ('India', u'Kerala'), '2013-09-16')",1
"('would', ('India', u'Maharashtra'), '2013-05-20')",1
"('news', ('India', u'Assam'), '2013-09-23')",1
"('week', ('India', u'Gujarat'), '2013-10-07')",1
"('order', ('India', u'Tamil Nadu'), '2013-08-19')",1
"('drop', ('India', u'Bihar'), '2013-08-26')",1
"('reduce', ('India', u'Madhya Pradesh'), '2013-05-06')",1
"('murugan', ('India', u'Karnataka'), '2013-09-16')",1
"('dhf', ('India', u'Delhi'), '2013-08-26')",1
"('able', ('India', u'Uttaranchal'), '2013-06-24')",1
"('malaria', ('India', u'Delhi'), '2013-09-16')",1
"('kedarnath', ('India', u'Assam'), '2013-07-29')",1
"('worst', ('India', u'Delhi'), '2013-09-09')",1
"('report', ('India', u'Punjab'), '2013-06-17')",1
"('certificate', ('India', u'Chhattisgarh'), '2013-07-15')",1
"('tendulkar', ('India', u'Delhi'), '2013-09-30')",1
"('middle', ('India', u'Bihar'), '2013-07-29')",4
"('public', ('India', u'Maharashtra'), '2013-07-29')",1
"('smartphone', ('India', u'Karnataka'), '2013-04-22')",1
"('death', ('India', u'Rajasthan'), '2013-04-22')",1
"('tte', ('India', u'Tamil Nadu'), '2013-07-22')",1
"('challenge', ('India', u'Delhi'), '2013-09-16')",1
"('remark', ('India', u'Uttaranchal'), '2013-06-24')",1
"('panelist', ('India', u'Karnataka'), '2013-06-17')",1
"('outbreak', ('India', u'Maharashtra'), '2013-09-02')",3
"('airtel', ('India', u'Punjab'), '2013-04-08')",1
"('resident', ('India', u'Maharashtra'), '2013-07-29')",1
"('sure', ('India', u'Maharashtra'), '2013-02-11')",1
"('govt', ('India', u'Punjab'), '2013-01-21')",1
"('injection', ('India', u'Karnataka'), '2013-09-16')",1
"('claim', ('India', u'West Bengal'), '2013-01-21')",1
"('ipl', ('India', u'Haryana'), '2013-07-29')",1
"('worker', ('India', u'Madhya Pradesh'), '2013-09-02')",1
"('ipl', ('India', u'Bihar'), '2013-07-29')",1
"('sewage', ('India', u'Delhi'), '2013-08-05')",1
"('already', ('India', u'Rajasthan'), '2013-09-23')",1
"('death', ('India', u'Delhi'), '2013-10-07')",4
"('boy', ('India', u'Maharashtra'), '2013-07-15')",1
"('track', ('India', u'Karnataka'), '2013-08-19')",1
"('toll', ('India', u'Orissa'), '2013-08-26')",1
"('obscene', ('India', u'Uttar Pradesh'), '2013-09-16')",1
"('bangalore', ('India', u'Andhra Pradesh'), '2013-06-10')",1
"('keeping', ('India', u'Delhi'), '2013-09-23')",1
"('body', ('India', u'Bihar'), '2013-07-15')",1
"('survey', ('India', u'Delhi'), '2013-09-23')",2
"('filaria', ('India', u'Bihar'), '2013-09-16')",1
"('combative', ('India', u'Maharashtra'), '2013-08-26')",1
"('dharam', ('India', u'Andhra Pradesh'), '2013-08-12')",1
"('pioneering', ('India', u'Delhi'), '2013-09-09')",1
"('strategy', ('India', u'Delhi'), '2013-07-15')",1
"('old', ('India', u'Madhya Pradesh'), '2013-01-14')",1
"('hence', ('India', u'Uttar Pradesh'), '2013-08-19')",1
"('rise', ('India', u'Uttar Pradesh'), '2013-09-16')",1
"('constitute', ('India', u'Maharashtra'), '2013-09-09')",1
"('login', ('India', u'Bihar'), '2013-07-15')",1
"('poisonous', ('India', u'Punjab'), '2013-04-08')",1
"('youtube', ('India', u'Bihar'), '2013-09-09')",1
"('city', ('India', u'Maharashtra'), '2013-07-08')",3
"('network', ('India', u'Gujarat'), '2013-07-15')",1
"('kick', ('India', u'Andhra Pradesh'), '2013-08-12')",1
"('charge', ('India', u'Haryana'), '2013-07-29')",1
"('receive', ('India', u'Madhya Pradesh'), '2013-07-22')",2
"('reservoir', ('India', u'Delhi'), '2013-09-30')",1
"('odisha', ('India', u'Orissa'), '2013-09-02')",2
"('guideline', ('India', u'Uttar Pradesh'), '2013-09-02')",1
"('resident', ('India', u'Tamil Nadu'), '2013-09-09')",1
"('hyderabad', ('India', u'Tamil Nadu'), '2013-09-09')",1
"('disclaimer', ('India', u'Orissa'), '2013-07-22')",1
"('august', ('India', u'Delhi'), '2013-08-26')",3
"('kadri', ('India', u'Karnataka'), '2013-08-19')",1
"('rename', ('India', u'Karnataka'), '2013-04-22')",1
"('mobility', ('India', u'Madhya Pradesh'), '2013-08-19')",1
"('jadhav', ('India', u'Maharashtra'), '2013-08-12')",1
"('get', ('India', u'Maharashtra'), '2013-09-02')",1
"('head', ('India', u'Maharashtra'), '2013-08-12')",1
"('april', ('India', u'Haryana'), '2013-05-06')",1
"('maintain', ('India', u'Delhi'), '2013-09-09')",3
"('site', ('India', u'Maharashtra'), '2013-07-22')",1
"('dirt', ('India', u'Madhya Pradesh'), '2013-07-15')",1
"('medical', ('India', u'Kerala'), '2013-06-10')",2
"('tuesday', ('India', u'Himachal Pradesh'), '2013-08-05')",1
"('sick', ('India', u'Maharashtra'), '2013-07-15')",1
"('net', ('India', u'Uttar Pradesh'), '2013-07-15')",1
"('believe', ('India', u'Punjab'), '2013-08-19')",1
"('bomb', ('India', u'Uttar Pradesh'), '2013-07-15')",1
"('party', ('India', u'Karnataka'), '2013-06-03')",1
"('mid', ('India', u'Madhya Pradesh'), '2013-07-15')",1
"('found', ('India', u'Karnataka'), '2013-06-17')",1
"('monica', ('India', u'Andhra Pradesh'), '2013-08-12')",1
"('coal', ('India', u'Karnataka'), '2013-07-01')",1
"('high', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('proceed', ('India', u'Maharashtra'), '2013-07-08')",2
"('etc', ('India', u'Rajasthan'), '2013-09-30')",1
"('doctor', ('India', u'Chhattisgarh'), '2013-07-01')",1
"('mirror', ('India', u'Jharkhand'), '2013-07-22')",1
"('foot', ('India', u'Madhya Pradesh'), '2013-06-24')",1
"('degree', ('India', u'Delhi'), '2013-09-02')",2
"('mosquito', ('India', u'Karnataka'), '2013-05-20')",1
"('authority', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('temperature', ('India', u'Madhya Pradesh'), '2013-07-29')",1
"('lack', ('India', u'Haryana'), '2013-09-30')",1
"('born', ('India', u'Maharashtra'), '2013-02-11')",1
"('health', ('India', u'Madhya Pradesh'), '2013-09-23')",1
"('country', ('India', u'Uttar Pradesh'), '2013-09-09')",2
"('mamata', ('India', u'Tamil Nadu'), '2013-06-10')",1
