Epi week start date,ADD,Dengue,Malaria
2013-01-07,11.0,20.0,8.0
2013-01-14,813.0,19.0,5.0
2013-01-21,603.0,107.0,14.0
2013-01-28,0.0,0.0,0.0
2013-02-04,0.0,0.0,0.0
2013-02-11,32.0,277.0,10.0
2013-02-18,0.0,0.0,0.0
2013-02-25,246.0,24.0,3.0
2013-03-04,215.0,9.0,2.0
2013-03-11,0.0,0.0,0.0
2013-03-18,0.0,16.0,2.0
2013-03-25,0.0,0.0,0.0
2013-04-01,221.0,29.0,8.0
2013-04-08,690.0,15.0,9.0
2013-04-15,0.0,80.0,3.0
2013-04-22,29.0,21.0,20.0
2013-04-29,684.0,0.0,0.0
2013-05-06,363.0,36.0,10.0
2013-05-13,5.0,11.0,10.0
