Epi week start date,case count estimate
2012-01-01,32.0
2012-01-08,21.0
2012-01-15,19.0
2012-01-22,20.0
2012-01-29,18.0
2012-02-05,21.0
2012-02-12,19.0
2012-02-19,20.0
2012-02-26,19.0
2012-03-04,18.0
2012-03-11,20.0
2012-03-18,17.0
2012-03-25,19.0
2012-04-01,15.0
2012-04-08,25.0
2012-04-15,32.0
2012-04-22,28.0
2012-04-29,37.0
2012-05-06,55.0
2012-05-13,47.0
2012-05-20,45.0
2012-05-27,34.0
2012-06-03,37.0
2012-06-10,33.0
2012-06-17,38.0
2012-06-24,41.0
2012-07-01,46.0
2012-07-08,39.0
2012-07-15,42.0
2012-07-22,51.0
2012-07-29,52.0
2012-08-05,53.0
2012-08-12,58.0
2012-08-19,65.0
2012-08-26,68.0
2012-09-02,57.0
2012-09-09,63.0
2012-09-16,74.0
2012-09-23,58.0
2012-09-30,59.0
2012-10-07,56.0
2012-10-14,56.0
2012-10-21,60.0
2012-10-28,59.0
2012-11-04,54.0
2012-11-11,44.0
2012-11-18,41.0
2012-11-25,60.0
2012-12-02,60.0
2012-12-09,48.0
2012-12-16,33.0
2012-12-23,16.0
2012-12-30,26.0
2013-01-06,18.0
2013-01-13,18.0
2013-01-20,19.0
2013-01-27,18.0
2013-02-03,22.0
2013-02-10,18.0
2013-02-17,17.0
2013-02-24,16.0
2013-03-03,22.0
2013-03-10,25.0
2013-03-17,19.0
2013-03-24,22.0
2013-03-31,25.0
2013-04-07,25.0
2013-04-14,26.0
2013-04-21,29.0
2013-04-28,32.0
2013-05-05,34.0
2013-05-12,39.0
2013-05-19,45.0
2013-05-26,47.0
2013-06-02,38.0
2013-06-09,51.0
2013-06-16,49.0
2013-06-23,50.0
2013-06-30,53.0
2013-07-07,40.0
2013-07-14,55.0
2013-07-21,54.0
2013-07-28,58.0
2013-08-04,72.0
2013-08-11,72.0
2013-08-18,70.0
2013-08-25,55.0
2013-09-01,54.0
2013-09-08,45.0
2013-09-15,47.0
2013-09-22,50.0
2013-09-29,62.0
2013-10-06,55.0
2013-10-13,54.0
2013-10-20,53.0
2013-10-27,46.0
2013-11-03,45.0
2013-11-10,39.0
2013-11-17,39.0
2013-11-24,33.0
2013-12-01,34.0
2013-12-08,42.0
2013-12-15,36.0
2013-12-22,19.0
