Epi week start date,case count estimate
2012-01-01,18.0
2012-01-08,15.0
2012-01-15,16.0
2012-01-22,17.0
2012-01-29,18.0
2012-02-05,23.0
2012-02-12,29.0
2012-02-19,30.0
2012-02-26,26.0
2012-03-04,30.0
2012-03-11,28.0
2012-03-18,26.0
2012-03-25,35.0
2012-04-01,38.0
2012-04-08,30.0
2012-04-15,24.0
2012-04-22,31.0
2012-04-29,43.0
2012-05-06,37.0
2012-05-13,37.0
2012-05-20,44.0
2012-05-27,38.0
2012-06-03,41.0
2012-06-10,47.0
2012-06-17,36.0
2012-06-24,28.0
2012-07-01,30.0
2012-07-08,35.0
2012-07-15,37.0
2012-07-22,42.0
2012-07-29,39.0
2012-08-05,37.0
2012-08-12,34.0
2012-08-19,46.0
2012-08-26,44.0
2012-09-02,42.0
2012-09-09,35.0
2012-09-16,39.0
2012-09-23,46.0
2012-09-30,44.0
2012-10-07,34.0
2012-10-14,41.0
2012-10-21,40.0
2012-10-28,47.0
2012-11-04,35.0
2012-11-11,36.0
2012-11-18,36.0
2012-11-25,29.0
2012-12-02,28.0
2012-12-09,25.0
2012-12-16,32.0
2012-12-23,22.0
2012-12-30,22.0
2013-01-06,18.0
2013-01-13,17.0
2013-01-20,19.0
2013-01-27,20.0
2013-02-03,20.0
2013-02-10,21.0
2013-02-17,18.0
2013-02-24,20.0
2013-03-03,21.0
2013-03-10,22.0
2013-03-17,21.0
2013-03-24,29.0
2013-03-31,31.0
2013-04-07,31.0
2013-04-14,35.0
2013-04-21,43.0
2013-04-28,47.0
2013-05-05,42.0
2013-05-12,37.0
2013-05-19,46.0
2013-05-26,39.0
2013-06-02,35.0
2013-06-09,32.0
2013-06-16,26.0
2013-06-23,21.0
2013-06-30,23.0
2013-07-07,33.0
2013-07-14,31.0
2013-07-21,27.0
2013-07-28,28.0
2013-08-04,29.0
2013-08-11,38.0
2013-08-18,42.0
2013-08-25,29.0
2013-09-01,27.0
2013-09-08,21.0
2013-09-15,18.0
2013-09-22,15.0
2013-09-29,23.0
2013-10-06,31.0
2013-10-13,27.0
2013-10-20,23.0
2013-10-27,28.0
2013-11-03,27.0
2013-11-10,23.0
2013-11-17,25.0
2013-11-24,27.0
2013-12-01,21.0
2013-12-08,21.0
2013-12-15,17.0
2013-12-22,13.0
