Epi week start date,case count estimate
2012-01-01,329.0
2012-01-08,219.0
2012-01-15,234.0
2012-01-22,254.0
2012-01-29,239.0
2012-02-05,277.0
2012-02-12,245.0
2012-02-19,259.0
2012-02-26,222.0
2012-03-04,241.0
2012-03-11,244.0
2012-03-18,278.0
2012-03-25,287.0
2012-04-01,268.0
2012-04-08,261.0
2012-04-15,273.0
2012-04-22,291.0
2012-04-29,299.0
2012-05-06,360.0
2012-05-13,336.0
2012-05-20,411.0
2012-05-27,413.0
2012-06-03,416.0
2012-06-10,436.0
2012-06-17,426.0
2012-06-24,455.0
2012-07-01,449.0
2012-07-08,422.0
2012-07-15,455.0
2012-07-22,588.0
2012-07-29,565.0
2012-08-05,588.0
2012-08-12,741.0
2012-08-19,689.0
2012-08-26,756.0
2012-09-02,762.0
2012-09-09,687.0
2012-09-16,808.0
2012-09-23,772.0
2012-09-30,680.0
2012-10-07,699.0
2012-10-14,628.0
2012-10-21,692.0
2012-10-28,689.0
2012-11-04,749.0
2012-11-11,769.0
2012-11-18,708.0
2012-11-25,510.0
2012-12-02,515.0
2012-12-09,402.0
2012-12-16,402.0
2012-12-23,129.0
2012-12-30,236.0
2013-01-06,182.0
2013-01-13,174.0
2013-01-20,204.0
2013-01-27,215.0
2013-02-03,236.0
2013-02-10,215.0
2013-02-17,201.0
2013-02-24,196.0
2013-03-03,234.0
2013-03-10,201.0
2013-03-17,207.0
2013-03-24,255.0
2013-03-31,260.0
2013-04-07,260.0
2013-04-14,283.0
2013-04-21,318.0
2013-04-28,349.0
2013-05-05,293.0
2013-05-12,343.0
2013-05-19,375.0
2013-05-26,389.0
2013-06-02,427.0
2013-06-09,445.0
2013-06-16,418.0
2013-06-23,430.0
2013-06-30,403.0
2013-07-07,454.0
2013-07-14,570.0
2013-07-21,619.0
2013-07-28,593.0
2013-08-04,627.0
2013-08-11,598.0
2013-08-18,643.0
2013-08-25,514.0
2013-09-01,509.0
2013-09-08,509.0
2013-09-15,520.0
2013-09-22,470.0
2013-09-29,559.0
2013-10-06,662.0
2013-10-13,619.0
2013-10-20,536.0
2013-10-27,560.0
2013-11-03,537.0
2013-11-10,485.0
2013-11-17,540.0
2013-11-24,354.0
2013-12-01,345.0
2013-12-08,364.0
2013-12-15,378.0
2013-12-22,145.0
