Epi week start date,case count estimate
2012-01-01,180.0
2012-01-08,109.0
2012-01-15,98.0
2012-01-22,119.0
2012-01-29,128.0
2012-02-05,150.0
2012-02-12,147.0
2012-02-19,164.0
2012-02-26,140.0
2012-03-04,181.0
2012-03-11,181.0
2012-03-18,205.0
2012-03-25,203.0
2012-04-01,135.0
2012-04-08,234.0
2012-04-15,246.0
2012-04-22,283.0
2012-04-29,280.0
2012-05-06,298.0
2012-05-13,339.0
2012-05-20,404.0
2012-05-27,457.0
2012-06-03,413.0
2012-06-10,448.0
2012-06-17,459.0
2012-06-24,267.0
2012-07-01,342.0
2012-07-08,350.0
2012-07-15,350.0
2012-07-22,405.0
2012-07-29,424.0
2012-08-05,398.0
2012-08-12,411.0
2012-08-19,360.0
2012-08-26,380.0
2012-09-02,390.0
2012-09-09,363.0
2012-09-16,399.0
2012-09-23,372.0
2012-09-30,322.0
2012-10-07,358.0
2012-10-14,335.0
2012-10-21,289.0
2012-10-28,235.0
2012-11-04,191.0
2012-11-11,206.0
2012-11-18,204.0
2012-11-25,193.0
2012-12-02,228.0
2012-12-09,254.0
2012-12-16,242.0
2012-12-23,114.0
2012-12-30,189.0
2013-01-06,108.0
2013-01-13,103.0
2013-01-20,114.0
2013-01-27,132.0
2013-02-03,133.0
2013-02-10,156.0
2013-02-17,159.0
2013-02-24,147.0
2013-03-03,143.0
2013-03-10,136.0
2013-03-17,106.0
2013-03-24,122.0
2013-03-31,130.0
2013-04-07,140.0
2013-04-14,175.0
2013-04-21,141.0
2013-04-28,162.0
2013-05-05,157.0
2013-05-12,186.0
2013-05-19,184.0
2013-05-26,186.0
2013-06-02,167.0
2013-06-09,182.0
2013-06-16,162.0
2013-06-23,158.0
2013-06-30,136.0
2013-07-07,163.0
2013-07-14,192.0
2013-07-21,207.0
2013-07-28,226.0
2013-08-04,229.0
2013-08-11,221.0
2013-08-18,257.0
2013-08-25,176.0
2013-09-01,150.0
2013-09-08,137.0
2013-09-15,127.0
2013-09-22,116.0
2013-09-29,170.0
2013-10-06,182.0
2013-10-13,159.0
2013-10-20,149.0
2013-10-27,210.0
2013-11-03,212.0
2013-11-10,217.0
2013-11-17,207.0
2013-11-24,158.0
2013-12-01,183.0
2013-12-08,224.0
2013-12-15,244.0
2013-12-22,116.0
