Epi week start date,case count estimate
2012-01-01,31.0
2012-01-08,22.0
2012-01-15,21.0
2012-01-22,19.0
2012-01-29,16.0
2012-02-05,21.0
2012-02-12,18.0
2012-02-19,21.0
2012-02-26,24.0
2012-03-04,17.0
2012-03-11,20.0
2012-03-18,16.0
2012-03-25,20.0
2012-04-01,15.0
2012-04-08,26.0
2012-04-15,33.0
2012-04-22,27.0
2012-04-29,41.0
2012-05-06,54.0
2012-05-13,48.0
2012-05-20,43.0
2012-05-27,32.0
2012-06-03,39.0
2012-06-10,29.0
2012-06-17,39.0
2012-06-24,42.0
2012-07-01,43.0
2012-07-08,41.0
2012-07-15,48.0
2012-07-22,59.0
2012-07-29,53.0
2012-08-05,53.0
2012-08-12,56.0
2012-08-19,68.0
2012-08-26,65.0
2012-09-02,62.0
2012-09-09,62.0
2012-09-16,75.0
2012-09-23,56.0
2012-09-30,53.0
2012-10-07,55.0
2012-10-14,53.0
2012-10-21,57.0
2012-10-28,54.0
2012-11-04,52.0
2012-11-11,42.0
2012-11-18,42.0
2012-11-25,61.0
2012-12-02,57.0
2012-12-09,46.0
2012-12-16,33.0
2012-12-23,14.0
2012-12-30,25.0
2013-01-06,20.0
2013-01-13,18.0
2013-01-20,20.0
2013-01-27,19.0
2013-02-03,22.0
2013-02-10,19.0
2013-02-17,16.0
2013-02-24,16.0
2013-03-03,22.0
2013-03-10,25.0
2013-03-17,19.0
2013-03-24,22.0
2013-03-31,28.0
2013-04-07,22.0
2013-04-14,26.0
2013-04-21,29.0
2013-04-28,32.0
2013-05-05,40.0
2013-05-12,35.0
2013-05-19,47.0
2013-05-26,46.0
2013-06-02,38.0
2013-06-09,55.0
2013-06-16,52.0
2013-06-23,49.0
2013-06-30,55.0
2013-07-07,46.0
2013-07-14,58.0
2013-07-21,56.0
2013-07-28,60.0
2013-08-04,67.0
2013-08-11,75.0
2013-08-18,66.0
2013-08-25,59.0
2013-09-01,50.0
2013-09-08,41.0
2013-09-15,47.0
2013-09-22,49.0
2013-09-29,53.0
2013-10-06,53.0
2013-10-13,53.0
2013-10-20,51.0
2013-10-27,47.0
2013-11-03,48.0
2013-11-10,37.0
2013-11-17,40.0
2013-11-24,29.0
2013-12-01,33.0
2013-12-08,43.0
2013-12-15,35.0
2013-12-22,16.0
