Epi week start date,case count estimate
2012-01-01,328.0
2012-01-08,228.0
2012-01-15,231.0
2012-01-22,254.0
2012-01-29,227.0
2012-02-05,274.0
2012-02-12,239.0
2012-02-19,264.0
2012-02-26,230.0
2012-03-04,231.0
2012-03-11,240.0
2012-03-18,284.0
2012-03-25,289.0
2012-04-01,282.0
2012-04-08,255.0
2012-04-15,279.0
2012-04-22,284.0
2012-04-29,336.0
2012-05-06,348.0
2012-05-13,350.0
2012-05-20,403.0
2012-05-27,415.0
2012-06-03,412.0
2012-06-10,422.0
2012-06-17,435.0
2012-06-24,473.0
2012-07-01,424.0
2012-07-08,448.0
2012-07-15,468.0
2012-07-22,628.0
2012-07-29,587.0
2012-08-05,584.0
2012-08-12,707.0
2012-08-19,732.0
2012-08-26,735.0
2012-09-02,765.0
2012-09-09,697.0
2012-09-16,802.0
2012-09-23,799.0
2012-09-30,627.0
2012-10-07,734.0
2012-10-14,611.0
2012-10-21,670.0
2012-10-28,661.0
2012-11-04,745.0
2012-11-11,765.0
2012-11-18,717.0
2012-11-25,515.0
2012-12-02,507.0
2012-12-09,399.0
2012-12-16,395.0
2012-12-23,132.0
2012-12-30,238.0
2013-01-06,184.0
2013-01-13,174.0
2013-01-20,206.0
2013-01-27,220.0
2013-02-03,236.0
2013-02-10,223.0
2013-02-17,210.0
2013-02-24,188.0
2013-03-03,233.0
2013-03-10,202.0
2013-03-17,205.0
2013-03-24,258.0
2013-03-31,270.0
2013-04-07,252.0
2013-04-14,286.0
2013-04-21,320.0
2013-04-28,350.0
2013-05-05,305.0
2013-05-12,330.0
2013-05-19,380.0
2013-05-26,384.0
2013-06-02,431.0
2013-06-09,445.0
2013-06-16,423.0
2013-06-23,431.0
2013-06-30,406.0
2013-07-07,466.0
2013-07-14,571.0
2013-07-21,641.0
2013-07-28,610.0
2013-08-04,595.0
2013-08-11,604.0
2013-08-18,623.0
2013-08-25,530.0
2013-09-01,499.0
2013-09-08,500.0
2013-09-15,510.0
2013-09-22,477.0
2013-09-29,540.0
2013-10-06,679.0
2013-10-13,615.0
2013-10-20,527.0
2013-10-27,557.0
2013-11-03,535.0
2013-11-10,492.0
2013-11-17,535.0
2013-11-24,353.0
2013-12-01,341.0
2013-12-08,365.0
2013-12-15,383.0
2013-12-22,145.0
