Epi week start date,case count estimate
2012-01-01,181.0
2012-01-08,110.0
2012-01-15,97.0
2012-01-22,120.0
2012-01-29,126.0
2012-02-05,151.0
2012-02-12,146.0
2012-02-19,165.0
2012-02-26,142.0
2012-03-04,181.0
2012-03-11,179.0
2012-03-18,204.0
2012-03-25,204.0
2012-04-01,134.0
2012-04-08,234.0
2012-04-15,249.0
2012-04-22,284.0
2012-04-29,285.0
2012-05-06,311.0
2012-05-13,349.0
2012-05-20,378.0
2012-05-27,444.0
2012-06-03,410.0
2012-06-10,443.0
2012-06-17,460.0
2012-06-24,270.0
2012-07-01,338.0
2012-07-08,356.0
2012-07-15,358.0
2012-07-22,424.0
2012-07-29,416.0
2012-08-05,386.0
2012-08-12,410.0
2012-08-19,364.0
2012-08-26,376.0
2012-09-02,394.0
2012-09-09,371.0
2012-09-16,393.0
2012-09-23,366.0
2012-09-30,300.0
2012-10-07,352.0
2012-10-14,335.0
2012-10-21,286.0
2012-10-28,232.0
2012-11-04,198.0
2012-11-11,203.0
2012-11-18,206.0
2012-11-25,205.0
2012-12-02,213.0
2012-12-09,241.0
2012-12-16,245.0
2012-12-23,116.0
2012-12-30,190.0
2013-01-06,126.0
2013-01-13,102.0
2013-01-20,114.0
2013-01-27,136.0
2013-02-03,130.0
2013-02-10,153.0
2013-02-17,153.0
2013-02-24,146.0
2013-03-03,144.0
2013-03-10,135.0
2013-03-17,109.0
2013-03-24,122.0
2013-03-31,133.0
2013-04-07,137.0
2013-04-14,170.0
2013-04-21,143.0
2013-04-28,168.0
2013-05-05,177.0
2013-05-12,181.0
2013-05-19,181.0
2013-05-26,177.0
2013-06-02,164.0
2013-06-09,195.0
2013-06-16,175.0
2013-06-23,151.0
2013-06-30,148.0
2013-07-07,164.0
2013-07-14,193.0
2013-07-21,212.0
2013-07-28,233.0
2013-08-04,223.0
2013-08-11,228.0
2013-08-18,251.0
2013-08-25,182.0
2013-09-01,155.0
2013-09-08,135.0
2013-09-15,127.0
2013-09-22,129.0
2013-09-29,150.0
2013-10-06,175.0
2013-10-13,157.0
2013-10-20,144.0
2013-10-27,208.0
2013-11-03,229.0
2013-11-10,216.0
2013-11-17,214.0
2013-11-24,154.0
2013-12-01,171.0
2013-12-08,217.0
2013-12-15,244.0
2013-12-22,120.0
