Epi week start date,case count estimate
2012-01-01,20.0
2012-01-08,17.0
2012-01-15,16.0
2012-01-22,17.0
2012-01-29,18.0
2012-02-05,23.0
2012-02-12,28.0
2012-02-19,32.0
2012-02-26,33.0
2012-03-04,28.0
2012-03-11,27.0
2012-03-18,24.0
2012-03-25,35.0
2012-04-01,39.0
2012-04-08,29.0
2012-04-15,23.0
2012-04-22,33.0
2012-04-29,52.0
2012-05-06,37.0
2012-05-13,39.0
2012-05-20,43.0
2012-05-27,36.0
2012-06-03,42.0
2012-06-10,48.0
2012-06-17,37.0
2012-06-24,29.0
2012-07-01,29.0
2012-07-08,37.0
2012-07-15,38.0
2012-07-22,43.0
2012-07-29,37.0
2012-08-05,39.0
2012-08-12,34.0
2012-08-19,48.0
2012-08-26,42.0
2012-09-02,42.0
2012-09-09,36.0
2012-09-16,43.0
2012-09-23,47.0
2012-09-30,40.0
2012-10-07,31.0
2012-10-14,42.0
2012-10-21,37.0
2012-10-28,47.0
2012-11-04,34.0
2012-11-11,35.0
2012-11-18,35.0
2012-11-25,28.0
2012-12-02,28.0
2012-12-09,24.0
2012-12-16,32.0
2012-12-23,21.0
2012-12-30,21.0
2013-01-06,18.0
2013-01-13,17.0
2013-01-20,19.0
2013-01-27,20.0
2013-02-03,21.0
2013-02-10,20.0
2013-02-17,17.0
2013-02-24,20.0
2013-03-03,21.0
2013-03-10,23.0
2013-03-17,22.0
2013-03-24,31.0
2013-03-31,30.0
2013-04-07,31.0
2013-04-14,35.0
2013-04-21,42.0
2013-04-28,47.0
2013-05-05,45.0
2013-05-12,36.0
2013-05-19,46.0
2013-05-26,39.0
2013-06-02,35.0
2013-06-09,35.0
2013-06-16,27.0
2013-06-23,21.0
2013-06-30,23.0
2013-07-07,35.0
2013-07-14,34.0
2013-07-21,28.0
2013-07-28,29.0
2013-08-04,28.0
2013-08-11,39.0
2013-08-18,43.0
2013-08-25,29.0
2013-09-01,27.0
2013-09-08,21.0
2013-09-15,21.0
2013-09-22,16.0
2013-09-29,22.0
2013-10-06,31.0
2013-10-13,26.0
2013-10-20,23.0
2013-10-27,29.0
2013-11-03,27.0
2013-11-10,22.0
2013-11-17,25.0
2013-11-24,26.0
2013-12-01,21.0
2013-12-08,22.0
2013-12-15,16.0
2013-12-22,12.0
