Epi week start date,case count estimate
2012-01-01,325.0
2012-01-08,228.0
2012-01-15,230.0
2012-01-22,261.0
2012-01-29,
2012-02-05,272.0
2012-02-12,244.0
2012-02-19,260.0
2012-02-26,232.0
2012-03-04,229.0
2012-03-11,
2012-03-18,284.0
2012-03-25,290.0
2012-04-01,
2012-04-08,254.0
2012-04-15,278.0
2012-04-22,285.0
2012-04-29,334.0
2012-05-06,346.0
2012-05-13,354.0
2012-05-20,398.0
2012-05-27,429.0
2012-06-03,406.0
2012-06-10,419.0
2012-06-17,439.0
2012-06-24,506.0
2012-07-01,424.0
2012-07-08,451.0
2012-07-15,469.0
2012-07-22,628.0
2012-07-29,574.0
2012-08-05,574.0
2012-08-12,710.0
2012-08-19,745.0
2012-08-26,721.0
2012-09-02,784.0
2012-09-09,
2012-09-16,789.0
2012-09-23,818.0
2012-09-30,607.0
2012-10-07,
2012-10-14,637.0
2012-10-21,
2012-10-28,684.0
2012-11-04,736.0
2012-11-11,766.0
2012-11-18,727.0
2012-11-25,400.0
2012-12-02,513.0
2012-12-09,422.0
2012-12-16,378.0
2012-12-23,135.0
2012-12-30,233.0
2013-01-06,179.0
2013-01-13,182.0
2013-01-20,209.0
2013-01-27,219.0
2013-02-03,234.0
2013-02-10,
2013-02-17,191.0
2013-02-24,188.0
2013-03-03,217.0
2013-03-10,205.0
2013-03-17,199.0
2013-03-24,265.0
2013-03-31,273.0
2013-04-07,232.0
2013-04-14,288.0
2013-04-21,325.0
2013-04-28,347.0
2013-05-05,275.0
2013-05-12,
2013-05-19,450.0
2013-05-26,376.0
2013-06-02,
2013-06-09,462.0
2013-06-16,421.0
2013-06-23,425.0
2013-06-30,412.0
2013-07-07,463.0
2013-07-14,581.0
2013-07-21,650.0
2013-07-28,601.0
2013-08-04,590.0
2013-08-11,615.0
2013-08-18,617.0
2013-08-25,486.0
2013-09-01,483.0
2013-09-08,510.0
2013-09-15,512.0
2013-09-22,474.0
2013-09-29,537.0
2013-10-06,694.0
2013-10-13,613.0
2013-10-20,506.0
2013-10-27,
2013-11-03,550.0
2013-11-10,482.0
2013-11-17,529.0
2013-11-24,370.0
2013-12-01,294.0
2013-12-08,389.0
2013-12-15,
2013-12-22,48.0
