Epi week start date,case count estimate
2012-01-01,166.0
2012-01-08,119.0
2012-01-15,104.0
2012-01-22,130.0
2012-01-29,123.0
2012-02-05,157.0
2012-02-12,141.0
2012-02-19,163.0
2012-02-26,133.0
2012-03-04,194.0
2012-03-11,170.0
2012-03-18,202.0
2012-03-25,197.0
2012-04-01,129.0
2012-04-08,259.0
2012-04-15,214.0
2012-04-22,314.0
2012-04-29,270.0
2012-05-06,308.0
2012-05-13,343.0
2012-05-20,375.0
2012-05-27,445.0
2012-06-03,401.0
2012-06-10,452.0
2012-06-17,457.0
2012-06-24,263.0
2012-07-01,346.0
2012-07-08,297.0
2012-07-15,388.0
2012-07-22,404.0
2012-07-29,415.0
2012-08-05,390.0
2012-08-12,404.0
2012-08-19,348.0
2012-08-26,384.0
2012-09-02,395.0
2012-09-09,373.0
2012-09-16,393.0
2012-09-23,348.0
2012-09-30,302.0
2012-10-07,348.0
2012-10-14,313.0
2012-10-21,298.0
2012-10-28,207.0
2012-11-04,191.0
2012-11-11,195.0
2012-11-18,197.0
2012-11-25,212.0
2012-12-02,218.0
2012-12-09,241.0
2012-12-16,253.0
2012-12-23,96.0
2012-12-30,
2013-01-06,109.0
2013-01-13,104.0
2013-01-20,92.0
2013-01-27,145.0
2013-02-03,129.0
2013-02-10,163.0
2013-02-17,148.0
2013-02-24,155.0
2013-03-03,141.0
2013-03-10,134.0
2013-03-17,104.0
2013-03-24,126.0
2013-03-31,126.0
2013-04-07,147.0
2013-04-14,173.0
2013-04-21,141.0
2013-04-28,186.0
2013-05-05,158.0
2013-05-12,198.0
2013-05-19,172.0
2013-05-26,189.0
2013-06-02,158.0
2013-06-09,200.0
2013-06-16,163.0
2013-06-23,157.0
2013-06-30,138.0
2013-07-07,170.0
2013-07-14,186.0
2013-07-21,224.0
2013-07-28,239.0
2013-08-04,226.0
2013-08-11,229.0
2013-08-18,253.0
2013-08-25,177.0
2013-09-01,169.0
2013-09-08,107.0
2013-09-15,134.0
2013-09-22,127.0
2013-09-29,157.0
2013-10-06,169.0
2013-10-13,168.0
2013-10-20,144.0
2013-10-27,212.0
2013-11-03,224.0
2013-11-10,238.0
2013-11-17,204.0
2013-11-24,149.0
2013-12-01,173.0
2013-12-08,208.0
2013-12-15,258.0
2013-12-22,101.0
