Epi week start date,case count estimate
2012-01-01,32.0
2012-01-08,24.0
2012-01-15,23.0
2012-01-22,20.0
2012-01-29,19.0
2012-02-05,24.0
2012-02-12,21.0
2012-02-19,23.0
2012-02-26,25.0
2012-03-04,19.0
2012-03-11,24.0
2012-03-18,18.0
2012-03-25,21.0
2012-04-01,16.0
2012-04-08,27.0
2012-04-15,33.0
2012-04-22,31.0
2012-04-29,42.0
2012-05-06,51.0
2012-05-13,49.0
2012-05-20,46.0
2012-05-27,34.0
2012-06-03,40.0
2012-06-10,29.0
2012-06-17,41.0
2012-06-24,41.0
2012-07-01,45.0
2012-07-08,43.0
2012-07-15,47.0
2012-07-22,54.0
2012-07-29,53.0
2012-08-05,54.0
2012-08-12,55.0
2012-08-19,65.0
2012-08-26,64.0
2012-09-02,63.0
2012-09-09,60.0
2012-09-16,72.0
2012-09-23,57.0
2012-09-30,56.0
2012-10-07,54.0
2012-10-14,55.0
2012-10-21,57.0
2012-10-28,58.0
2012-11-04,55.0
2012-11-11,44.0
2012-11-18,42.0
2012-11-25,58.0
2012-12-02,57.0
2012-12-09,52.0
2012-12-16,36.0
2012-12-23,16.0
2012-12-30,26.0
2013-01-06,23.0
2013-01-13,21.0
2013-01-20,21.0
2013-01-27,21.0
2013-02-03,25.0
2013-02-10,21.0
2013-02-17,20.0
2013-02-24,17.0
2013-03-03,24.0
2013-03-10,27.0
2013-03-17,22.0
2013-03-24,25.0
2013-03-31,27.0
2013-04-07,24.0
2013-04-14,29.0
2013-04-21,31.0
2013-04-28,33.0
2013-05-05,40.0
2013-05-12,35.0
2013-05-19,48.0
2013-05-26,48.0
2013-06-02,41.0
2013-06-09,56.0
2013-06-16,48.0
2013-06-23,51.0
2013-06-30,54.0
2013-07-07,45.0
2013-07-14,56.0
2013-07-21,50.0
2013-07-28,62.0
2013-08-04,66.0
2013-08-11,75.0
2013-08-18,68.0
2013-08-25,57.0
2013-09-01,49.0
2013-09-08,41.0
2013-09-15,48.0
2013-09-22,48.0
2013-09-29,55.0
2013-10-06,57.0
2013-10-13,55.0
2013-10-20,51.0
2013-10-27,49.0
2013-11-03,47.0
2013-11-10,36.0
2013-11-17,40.0
2013-11-24,29.0
2013-12-01,36.0
2013-12-08,43.0
2013-12-15,37.0
2013-12-22,18.0
