Epi week start date,case count estimate
2012-01-01,18.0
2012-01-08,18.0
2012-01-15,16.0
2012-01-22,19.0
2012-01-29,20.0
2012-02-05,25.0
2012-02-12,29.0
2012-02-19,31.0
2012-02-26,27.0
2012-03-04,29.0
2012-03-11,26.0
2012-03-18,28.0
2012-03-25,35.0
2012-04-01,36.0
2012-04-08,31.0
2012-04-15,26.0
2012-04-22,34.0
2012-04-29,41.0
2012-05-06,30.0
2012-05-13,39.0
2012-05-20,52.0
2012-05-27,38.0
2012-06-03,46.0
2012-06-10,46.0
2012-06-17,35.0
2012-06-24,32.0
2012-07-01,31.0
2012-07-08,38.0
2012-07-15,36.0
2012-07-22,40.0
2012-07-29,41.0
2012-08-05,40.0
2012-08-12,37.0
2012-08-19,44.0
2012-08-26,45.0
2012-09-02,42.0
2012-09-09,39.0
2012-09-16,39.0
2012-09-23,47.0
2012-09-30,41.0
2012-10-07,41.0
2012-10-14,48.0
2012-10-21,35.0
2012-10-28,43.0
2012-11-04,35.0
2012-11-11,33.0
2012-11-18,36.0
2012-11-25,25.0
2012-12-02,28.0
2012-12-09,23.0
2012-12-16,29.0
2012-12-23,21.0
2012-12-30,20.0
2013-01-06,18.0
2013-01-13,14.0
2013-01-20,16.0
2013-01-27,17.0
2013-02-03,19.0
2013-02-10,20.0
2013-02-17,17.0
2013-02-24,19.0
2013-03-03,20.0
2013-03-10,19.0
2013-03-17,21.0
2013-03-24,27.0
2013-03-31,29.0
2013-04-07,30.0
2013-04-14,39.0
2013-04-21,41.0
2013-04-28,45.0
2013-05-05,42.0
2013-05-12,39.0
2013-05-19,44.0
2013-05-26,40.0
2013-06-02,37.0
2013-06-09,35.0
2013-06-16,30.0
2013-06-23,23.0
2013-06-30,24.0
2013-07-07,35.0
2013-07-14,30.0
2013-07-21,31.0
2013-07-28,33.0
2013-08-04,36.0
2013-08-11,41.0
2013-08-18,46.0
2013-08-25,27.0
2013-09-01,39.0
2013-09-08,29.0
2013-09-15,22.0
2013-09-22,19.0
2013-09-29,27.0
2013-10-06,36.0
2013-10-13,27.0
2013-10-20,24.0
2013-10-27,31.0
2013-11-03,24.0
2013-11-10,20.0
2013-11-17,27.0
2013-11-24,27.0
2013-12-01,20.0
2013-12-08,23.0
2013-12-15,17.0
2013-12-22,14.0
