Epi week start date,case count estimate
2012-01-01,342.0
2012-01-08,218.0
2012-01-15,233.0
2012-01-22,281.0
2012-01-29,260.0
2012-02-05,305.0
2012-02-12,261.0
2012-02-19,271.0
2012-02-26,253.0
2012-03-04,268.0
2012-03-11,277.0
2012-03-18,304.0
2012-03-25,310.0
2012-04-01,294.0
2012-04-08,287.0
2012-04-15,303.0
2012-04-22,312.0
2012-04-29,313.0
2012-05-06,367.0
2012-05-13,355.0
2012-05-20,429.0
2012-05-27,427.0
2012-06-03,440.0
2012-06-10,446.0
2012-06-17,459.0
2012-06-24,473.0
2012-07-01,480.0
2012-07-08,445.0
2012-07-15,472.0
2012-07-22,572.0
2012-07-29,565.0
2012-08-05,589.0
2012-08-12,722.0
2012-08-19,655.0
2012-08-26,748.0
2012-09-02,747.0
2012-09-09,715.0
2012-09-16,803.0
2012-09-23,789.0
2012-09-30,694.0
2012-10-07,734.0
2012-10-14,649.0
2012-10-21,709.0
2012-10-28,704.0
2012-11-04,743.0
2012-11-11,762.0
2012-11-18,673.0
2012-11-25,548.0
2012-12-02,529.0
2012-12-09,386.0
2012-12-16,375.0
2012-12-23,145.0
2012-12-30,210.0
2013-01-06,174.0
2013-01-13,148.0
2013-01-20,208.0
2013-01-27,172.0
2013-02-03,214.0
2013-02-10,208.0
2013-02-17,205.0
2013-02-24,208.0
2013-03-03,243.0
2013-03-10,208.0
2013-03-17,214.0
2013-03-24,264.0
2013-03-31,277.0
2013-04-07,287.0
2013-04-14,302.0
2013-04-21,336.0
2013-04-28,358.0
2013-05-05,311.0
2013-05-12,358.0
2013-05-19,399.0
2013-05-26,391.0
2013-06-02,432.0
2013-06-09,447.0
2013-06-16,430.0
2013-06-23,454.0
2013-06-30,414.0
2013-07-07,467.0
2013-07-14,567.0
2013-07-21,606.0
2013-07-28,599.0
2013-08-04,633.0
2013-08-11,603.0
2013-08-18,642.0
2013-08-25,535.0
2013-09-01,541.0
2013-09-08,563.0
2013-09-15,576.0
2013-09-22,486.0
2013-09-29,582.0
2013-10-06,658.0
2013-10-13,632.0
2013-10-20,543.0
2013-10-27,544.0
2013-11-03,515.0
2013-11-10,449.0
2013-11-17,474.0
2013-11-24,377.0
2013-12-01,325.0
2013-12-08,367.0
2013-12-15,349.0
2013-12-22,155.0
