Epi week start date,case count estimate
2012-01-01,178.0
2012-01-08,120.0
2012-01-15,120.0
2012-01-22,121.0
2012-01-29,127.0
2012-02-05,152.0
2012-02-12,146.0
2012-02-19,171.0
2012-02-26,137.0
2012-03-04,196.0
2012-03-11,172.0
2012-03-18,208.0
2012-03-25,191.0
2012-04-01,138.0
2012-04-08,255.0
2012-04-15,220.0
2012-04-22,308.0
2012-04-29,289.0
2012-05-06,334.0
2012-05-13,385.0
2012-05-20,459.0
2012-05-27,469.0
2012-06-03,412.0
2012-06-10,463.0
2012-06-17,442.0
2012-06-24,287.0
2012-07-01,384.0
2012-07-08,305.0
2012-07-15,377.0
2012-07-22,446.0
2012-07-29,476.0
2012-08-05,431.0
2012-08-12,422.0
2012-08-19,361.0
2012-08-26,417.0
2012-09-02,389.0
2012-09-09,385.0
2012-09-16,430.0
2012-09-23,375.0
2012-09-30,338.0
2012-10-07,325.0
2012-10-14,300.0
2012-10-21,285.0
2012-10-28,210.0
2012-11-04,171.0
2012-11-11,201.0
2012-11-18,183.0
2012-11-25,196.0
2012-12-02,243.0
2012-12-09,232.0
2012-12-16,217.0
2012-12-23,121.0
2012-12-30,166.0
2013-01-06,101.0
2013-01-13,129.0
2013-01-20,102.0
2013-01-27,125.0
2013-02-03,137.0
2013-02-10,150.0
2013-02-17,147.0
2013-02-24,131.0
2013-03-03,131.0
2013-03-10,127.0
2013-03-17,98.0
2013-03-24,116.0
2013-03-31,113.0
2013-04-07,140.0
2013-04-14,160.0
2013-04-21,124.0
2013-04-28,164.0
2013-05-05,157.0
2013-05-12,227.0
2013-05-19,192.0
2013-05-26,197.0
2013-06-02,166.0
2013-06-09,180.0
2013-06-16,180.0
2013-06-23,190.0
2013-06-30,137.0
2013-07-07,203.0
2013-07-14,211.0
2013-07-21,224.0
2013-07-28,256.0
2013-08-04,257.0
2013-08-11,235.0
2013-08-18,281.0
2013-08-25,197.0
2013-09-01,192.0
2013-09-08,162.0
2013-09-15,155.0
2013-09-22,145.0
2013-09-29,199.0
2013-10-06,175.0
2013-10-13,163.0
2013-10-20,154.0
2013-10-27,193.0
2013-11-03,198.0
2013-11-10,238.0
2013-11-17,217.0
2013-11-24,177.0
2013-12-01,191.0
2013-12-08,201.0
2013-12-15,229.0
2013-12-22,121.0
