Epi week start date,case count estimate
2012-01-01,34.0
2012-01-08,22.0
2012-01-15,22.0
2012-01-22,21.0
2012-01-29,19.0
2012-02-05,23.0
2012-02-12,20.0
2012-02-19,22.0
2012-02-26,20.0
2012-03-04,20.0
2012-03-11,21.0
2012-03-18,18.0
2012-03-25,20.0
2012-04-01,15.0
2012-04-08,26.0
2012-04-15,32.0
2012-04-22,30.0
2012-04-29,38.0
2012-05-06,54.0
2012-05-13,48.0
2012-05-20,49.0
2012-05-27,34.0
2012-06-03,38.0
2012-06-10,33.0
2012-06-17,39.0
2012-06-24,41.0
2012-07-01,47.0
2012-07-08,40.0
2012-07-15,43.0
2012-07-22,50.0
2012-07-29,53.0
2012-08-05,54.0
2012-08-12,58.0
2012-08-19,65.0
2012-08-26,68.0
2012-09-02,58.0
2012-09-09,63.0
2012-09-16,72.0
2012-09-23,60.0
2012-09-30,62.0
2012-10-07,54.0
2012-10-14,57.0
2012-10-21,60.0
2012-10-28,59.0
2012-11-04,55.0
2012-11-11,45.0
2012-11-18,42.0
2012-11-25,58.0
2012-12-02,59.0
2012-12-09,53.0
2012-12-16,34.0
2012-12-23,16.0
2012-12-30,25.0
2013-01-06,20.0
2013-01-13,19.0
2013-01-20,20.0
2013-01-27,20.0
2013-02-03,23.0
2013-02-10,19.0
2013-02-17,18.0
2013-02-24,17.0
2013-03-03,23.0
2013-03-10,26.0
2013-03-17,21.0
2013-03-24,24.0
2013-03-31,24.0
2013-04-07,26.0
2013-04-14,28.0
2013-04-21,30.0
2013-04-28,33.0
2013-05-05,35.0
2013-05-12,40.0
2013-05-19,46.0
2013-05-26,48.0
2013-06-02,40.0
2013-06-09,53.0
2013-06-16,48.0
2013-06-23,53.0
2013-06-30,53.0
2013-07-07,41.0
2013-07-14,56.0
2013-07-21,52.0
2013-07-28,61.0
2013-08-04,71.0
2013-08-11,72.0
2013-08-18,72.0
2013-08-25,55.0
2013-09-01,54.0
2013-09-08,43.0
2013-09-15,48.0
2013-09-22,49.0
2013-09-29,62.0
2013-10-06,55.0
2013-10-13,56.0
2013-10-20,52.0
2013-10-27,47.0
2013-11-03,46.0
2013-11-10,39.0
2013-11-17,40.0
2013-11-24,33.0
2013-12-01,35.0
2013-12-08,42.0
2013-12-15,38.0
2013-12-22,22.0
