Epi week start date,case count estimate
2012-01-01,20.0
2012-01-08,17.0
2012-01-15,19.0
2012-01-22,19.0
2012-01-29,20.0
2012-02-05,24.0
2012-02-12,29.0
2012-02-19,31.0
2012-02-26,28.0
2012-03-04,30.0
2012-03-11,29.0
2012-03-18,27.0
2012-03-25,34.0
2012-04-01,37.0
2012-04-08,32.0
2012-04-15,26.0
2012-04-22,30.0
2012-04-29,41.0
2012-05-06,36.0
2012-05-13,39.0
2012-05-20,42.0
2012-05-27,37.0
2012-06-03,42.0
2012-06-10,44.0
2012-06-17,35.0
2012-06-24,33.0
2012-07-01,29.0
2012-07-08,34.0
2012-07-15,36.0
2012-07-22,43.0
2012-07-29,38.0
2012-08-05,38.0
2012-08-12,34.0
2012-08-19,46.0
2012-08-26,40.0
2012-09-02,44.0
2012-09-09,36.0
2012-09-16,40.0
2012-09-23,44.0
2012-09-30,41.0
2012-10-07,35.0
2012-10-14,44.0
2012-10-21,36.0
2012-10-28,47.0
2012-11-04,36.0
2012-11-11,38.0
2012-11-18,38.0
2012-11-25,27.0
2012-12-02,30.0
2012-12-09,26.0
2012-12-16,32.0
2012-12-23,23.0
2012-12-30,24.0
2013-01-06,21.0
2013-01-13,18.0
2013-01-20,20.0
2013-01-27,20.0
2013-02-03,21.0
2013-02-10,22.0
2013-02-17,19.0
2013-02-24,22.0
2013-03-03,22.0
2013-03-10,22.0
2013-03-17,23.0
2013-03-24,30.0
2013-03-31,31.0
2013-04-07,31.0
2013-04-14,38.0
2013-04-21,43.0
2013-04-28,46.0
2013-05-05,43.0
2013-05-12,40.0
2013-05-19,48.0
2013-05-26,37.0
2013-06-02,36.0
2013-06-09,36.0
2013-06-16,26.0
2013-06-23,23.0
2013-06-30,23.0
2013-07-07,32.0
2013-07-14,29.0
2013-07-21,29.0
2013-07-28,31.0
2013-08-04,29.0
2013-08-11,37.0
2013-08-18,41.0
2013-08-25,29.0
2013-09-01,33.0
2013-09-08,23.0
2013-09-15,18.0
2013-09-22,17.0
2013-09-29,24.0
2013-10-06,30.0
2013-10-13,26.0
2013-10-20,26.0
2013-10-27,31.0
2013-11-03,27.0
2013-11-10,23.0
2013-11-17,27.0
2013-11-24,27.0
2013-12-01,20.0
2013-12-08,23.0
2013-12-15,17.0
2013-12-22,13.0
