Epi week start date,case count estimate
2012-01-01,328.0
2012-01-08,250.0
2012-01-15,219.0
2012-01-22,245.0
2012-01-29,229.0
2012-02-05,276.0
2012-02-12,255.0
2012-02-19,281.0
2012-02-26,240.0
2012-03-04,249.0
2012-03-11,255.0
2012-03-18,282.0
2012-03-25,297.0
2012-04-01,280.0
2012-04-08,273.0
2012-04-15,281.0
2012-04-22,297.0
2012-04-29,305.0
2012-05-06,363.0
2012-05-13,350.0
2012-05-20,422.0
2012-05-27,429.0
2012-06-03,431.0
2012-06-10,456.0
2012-06-17,435.0
2012-06-24,468.0
2012-07-01,452.0
2012-07-08,429.0
2012-07-15,463.0
2012-07-22,580.0
2012-07-29,572.0
2012-08-05,598.0
2012-08-12,754.0
2012-08-19,713.0
2012-08-26,789.0
2012-09-02,770.0
2012-09-09,708.0
2012-09-16,819.0
2012-09-23,752.0
2012-09-30,692.0
2012-10-07,696.0
2012-10-14,606.0
2012-10-21,685.0
2012-10-28,657.0
2012-11-04,723.0
2012-11-11,780.0
2012-11-18,711.0
2012-11-25,535.0
2012-12-02,512.0
2012-12-09,387.0
2012-12-16,363.0
2012-12-23,94.0
2012-12-30,208.0
2013-01-06,183.0
2013-01-13,146.0
2013-01-20,185.0
2013-01-27,205.0
2013-02-03,232.0
2013-02-10,238.0
2013-02-17,226.0
2013-02-24,215.0
2013-03-03,243.0
2013-03-10,216.0
2013-03-17,217.0
2013-03-24,267.0
2013-03-31,274.0
2013-04-07,279.0
2013-04-14,295.0
2013-04-21,336.0
2013-04-28,369.0
2013-05-05,311.0
2013-05-12,356.0
2013-05-19,390.0
2013-05-26,398.0
2013-06-02,437.0
2013-06-09,453.0
2013-06-16,444.0
2013-06-23,445.0
2013-06-30,411.0
2013-07-07,458.0
2013-07-14,563.0
2013-07-21,616.0
2013-07-28,617.0
2013-08-04,649.0
2013-08-11,622.0
2013-08-18,653.0
2013-08-25,521.0
2013-09-01,501.0
2013-09-08,507.0
2013-09-15,500.0
2013-09-22,465.0
2013-09-29,538.0
2013-10-06,656.0
2013-10-13,626.0
2013-10-20,552.0
2013-10-27,571.0
2013-11-03,548.0
2013-11-10,480.0
2013-11-17,515.0
2013-11-24,348.0
2013-12-01,348.0
2013-12-08,344.0
2013-12-15,342.0
2013-12-22,158.0
