Epi week start date,case count estimate
2012-01-01,172.0
2012-01-08,122.0
2012-01-15,118.0
2012-01-22,122.0
2012-01-29,128.0
2012-02-05,156.0
2012-02-12,146.0
2012-02-19,172.0
2012-02-26,138.0
2012-03-04,194.0
2012-03-11,173.0
2012-03-18,212.0
2012-03-25,200.0
2012-04-01,137.0
2012-04-08,259.0
2012-04-15,217.0
2012-04-22,293.0
2012-04-29,274.0
2012-05-06,300.0
2012-05-13,336.0
2012-05-20,403.0
2012-05-27,456.0
2012-06-03,409.0
2012-06-10,459.0
2012-06-17,452.0
2012-06-24,265.0
2012-07-01,367.0
2012-07-08,314.0
2012-07-15,357.0
2012-07-22,409.0
2012-07-29,417.0
2012-08-05,403.0
2012-08-12,417.0
2012-08-19,350.0
2012-08-26,386.0
2012-09-02,378.0
2012-09-09,363.0
2012-09-16,405.0
2012-09-23,361.0
2012-09-30,330.0
2012-10-07,360.0
2012-10-14,319.0
2012-10-21,299.0
2012-10-28,236.0
2012-11-04,191.0
2012-11-11,206.0
2012-11-18,198.0
2012-11-25,200.0
2012-12-02,234.0
2012-12-09,251.0
2012-12-16,247.0
2012-12-23,115.0
2012-12-30,192.0
2013-01-06,110.0
2013-01-13,115.0
2013-01-20,108.0
2013-01-27,136.0
2013-02-03,137.0
2013-02-10,164.0
2013-02-17,161.0
2013-02-24,154.0
2013-03-03,149.0
2013-03-10,138.0
2013-03-17,109.0
2013-03-24,130.0
2013-03-31,128.0
2013-04-07,146.0
2013-04-14,180.0
2013-04-21,141.0
2013-04-28,177.0
2013-05-05,153.0
2013-05-12,194.0
2013-05-19,183.0
2013-05-26,194.0
2013-06-02,169.0
2013-06-09,189.0
2013-06-16,160.0
2013-06-23,167.0
2013-06-30,138.0
2013-07-07,169.0
2013-07-14,190.0
2013-07-21,212.0
2013-07-28,231.0
2013-08-04,232.0
2013-08-11,226.0
2013-08-18,258.0
2013-08-25,174.0
2013-09-01,166.0
2013-09-08,132.0
2013-09-15,130.0
2013-09-22,121.0
2013-09-29,174.0
2013-10-06,180.0
2013-10-13,168.0
2013-10-20,156.0
2013-10-27,213.0
2013-11-03,207.0
2013-11-10,228.0
2013-11-17,209.0
2013-11-24,161.0
2013-12-01,190.0
2013-12-08,218.0
2013-12-15,246.0
2013-12-22,114.0
