Epi week start date,case count
2010-01-03,9.0
2010-01-10,11.0
2010-01-17,13.0
2010-01-24,22.0
2010-01-31,11.0
2010-02-07,19.0
2010-02-14,17.0
2010-02-21,7.0
2010-02-28,15.0
2010-03-07,23.0
2010-03-14,30.0
2010-03-21,18.0
2010-03-28,22.0
2010-04-04,32.0
2010-04-11,29.0
2010-04-18,53.0
2010-04-25,69.0
2010-05-02,39.0
2010-05-09,49.0
2010-05-16,38.0
2010-05-23,38.0
2010-05-30,29.0
2010-06-06,32.0
2010-06-13,61.0
2010-06-20,60.0
2010-06-27,75.0
2010-07-04,48.0
2010-07-11,75.0
2010-07-18,97.0
2010-07-25,88.0
2010-08-01,104.0
2010-08-08,69.0
2010-08-15,72.0
2010-08-22,74.0
2010-08-29,56.0
2010-09-05,50.0
2010-09-12,81.0
2010-09-19,71.0
2010-09-26,53.0
2010-10-03,67.0
2010-10-10,76.0
2010-10-17,71.0
2010-10-24,59.0
2010-10-31,63.0
2010-11-07,46.0
2010-11-14,56.0
2010-11-21,37.0
2010-11-28,47.0
2010-12-05,46.0
2010-12-12,53.0
2010-12-19,30.0
2010-12-26,53.0
2011-01-02,38.0
2011-01-09,17.0
2011-01-16,23.0
2011-01-23,24.0
2011-01-30,31.0
2011-02-06,42.0
2011-02-13,21.0
2011-02-20,25.0
2011-02-27,31.0
2011-03-06,32.0
2011-03-13,38.0
2011-03-20,32.0
2011-03-27,43.0
2011-04-03,32.0
2011-04-10,39.0
2011-04-17,43.0
2011-04-24,44.0
2011-05-01,32.0
2011-05-08,46.0
2011-05-15,52.0
2011-05-22,49.0
2011-05-29,46.0
2011-06-05,77.0
2011-06-12,58.0
2011-06-19,74.0
2011-06-26,61.0
2011-07-03,44.0
2011-07-10,76.0
2011-07-17,63.0
2011-07-24,81.0
2011-07-31,87.0
2011-08-07,82.0
2011-08-14,74.0
2011-08-21,86.0
2011-08-28,59.0
2011-09-04,43.0
2011-09-11,60.0
2011-09-18,57.0
2011-09-25,58.0
2011-10-02,61.0
2011-10-09,50.0
2011-10-16,51.0
2011-10-23,69.0
2011-10-30,48.0
2011-11-06,36.0
2011-11-13,41.0
2011-11-20,34.0
2011-11-27,49.0
2011-12-04,46.0
2011-12-11,41.0
2011-12-18,18.0
2011-12-25,33.0
2012-01-01,10.0
2012-01-08,17.0
2012-01-15,18.0
2012-01-22,14.0
2012-01-29,23.0
2012-02-05,15.0
2012-02-12,20.0
2012-02-19,16.0
2012-02-26,16.0
2012-03-04,21.0
2012-03-11,12.0
2012-03-18,20.0
2012-03-25,9.0
2012-04-01,33.0
2012-04-08,36.0
2012-04-15,23.0
2012-04-22,46.0
2012-04-29,70.0
2012-05-06,39.0
2012-05-13,47.0
2012-05-20,24.0
2012-05-27,41.0
2012-06-03,28.0
2012-06-10,44.0
2012-06-17,42.0
2012-06-24,52.0
2012-07-01,31.0
2012-07-08,48.0
2012-07-15,59.0
2012-07-22,54.0
2012-07-29,56.0
2012-08-05,64.0
2012-08-12,74.0
2012-08-19,72.0
2012-08-26,50.0
2012-09-02,73.0
2012-09-09,87.0
2012-09-16,43.0
2012-09-23,67.0
2012-09-30,53.0
2012-10-07,60.0
2012-10-14,67.0
2012-10-21,58.0
2012-10-28,52.0
2012-11-04,35.0
2012-11-11,40.0
2012-11-18,83.0
2012-11-25,60.0
2012-12-02,37.0
2012-12-09,19.0
2012-12-16,34.0
2012-12-23,17.0
2012-12-30,8.0
2013-01-06,17.0
2013-01-13,18.0
2013-01-20,15.0
2013-01-27,23.0
2013-02-03,12.0
2013-02-10,13.0
2013-02-17,14.0
2013-02-24,25.0
2013-03-03,26.0
2013-03-10,11.0
2013-03-17,23.0
2013-03-24,26.0
2013-03-31,24.0
2013-04-07,26.0
2013-04-14,31.0
2013-04-21,34.0
2013-04-28,35.0
2013-05-05,44.0
2013-05-12,52.0
2013-05-19,50.0
2013-05-26,31.0
2013-06-02,66.0
2013-06-09,48.0
2013-06-16,53.0
2013-06-23,58.0
2013-06-30,28.0
2013-07-07,75.0
2013-07-14,53.0
2013-07-21,65.0
2013-07-28,91.0
2013-08-04,74.0
2013-08-11,71.0
2013-08-18,42.0
2013-08-25,57.0
2013-09-01,36.0
2013-09-08,53.0
2013-09-15,53.0
2013-09-22,78.0
2013-09-29,46.0
2013-10-06,59.0
2013-10-13,53.0
2013-10-20,39.0
2013-10-27,48.0
2013-11-03,31.0
2013-11-10,42.0
2013-11-17,24.0
2013-11-24,38.0
2013-12-01,50.0
2013-12-08,27.0
2013-12-15,41.0
2013-12-22,24.0
2013-12-29,10.0
2014-01-05,14.0
2014-01-12,13.0
2014-01-19,17.0
2014-01-26,28.0
2014-02-02,23.0
2014-02-09,24.0
2014-02-16,23.0
2014-02-23,13.0
2014-03-02,29.0
2014-03-09,30.0
2014-03-16,25.0
2014-03-23,27.0
2014-03-30,28.0
2014-04-06,14.0
2014-04-13,26.0
2014-04-20,28.0
2014-04-27,29.0
2014-05-04,30.0
2014-05-11,37.0
2014-05-18,15.0
2014-05-25,32.0
2014-06-01,59.0
2014-06-08,34.0
2014-06-15,33.0
2014-06-22,38.0
2014-06-29,36.0
2014-07-06,73.0
2014-07-13,49.0
2014-07-20,74.0
2014-07-27,48.0
