Epi week start date,case count
2010-01-03,14.0
2010-01-10,7.0
2010-01-17,11.0
2010-01-24,21.0
2010-01-31,15.0
2010-02-07,12.0
2010-02-14,16.0
2010-02-21,31.0
2010-02-28,34.0
2010-03-07,20.0
2010-03-14,28.0
2010-03-21,24.0
2010-03-28,26.0
2010-04-04,23.0
2010-04-11,24.0
2010-04-18,25.0
2010-04-25,22.0
2010-05-02,24.0
2010-05-09,21.0
2010-05-16,25.0
2010-05-23,53.0
2010-05-30,43.0
2010-06-06,22.0
2010-06-13,38.0
2010-06-20,40.0
2010-06-27,31.0
2010-07-04,17.0
2010-07-11,41.0
2010-07-18,56.0
2010-07-25,70.0
2010-08-01,53.0
2010-08-08,50.0
2010-08-15,95.0
2010-08-22,52.0
2010-08-29,47.0
2010-09-05,31.0
2010-09-12,25.0
2010-09-19,32.0
2010-09-26,12.0
2010-10-03,15.0
2010-10-10,27.0
2010-10-17,34.0
2010-10-24,15.0
2010-10-31,23.0
2010-11-07,24.0
2010-11-14,28.0
2010-11-21,19.0
2010-11-28,41.0
2010-12-05,28.0
2010-12-12,16.0
2010-12-19,18.0
2010-12-26,8.0
2011-01-02,10.0
2011-01-09,5.0
2011-01-16,5.0
2011-01-23,32.0
2011-01-30,16.0
2011-02-06,24.0
2011-02-13,19.0
2011-02-20,10.0
2011-02-27,26.0
2011-03-06,24.0
2011-03-13,36.0
2011-03-20,23.0
2011-03-27,31.0
2011-04-03,36.0
2011-04-10,16.0
2011-04-17,24.0
2011-04-24,22.0
2011-05-01,16.0
2011-05-08,48.0
2011-05-15,48.0
2011-05-22,30.0
2011-05-29,47.0
2011-06-05,62.0
2011-06-12,14.0
2011-06-19,26.0
2011-06-26,16.0
2011-07-03,23.0
2011-07-10,36.0
2011-07-17,41.0
2011-07-24,27.0
2011-07-31,14.0
2011-08-07,29.0
2011-08-14,30.0
2011-08-21,53.0
2011-08-28,34.0
2011-09-04,32.0
2011-09-11,57.0
2011-09-18,27.0
2011-09-25,46.0
2011-10-02,20.0
2011-10-09,38.0
2011-10-16,29.0
2011-10-23,25.0
2011-10-30,39.0
2011-11-06,25.0
2011-11-13,48.0
2011-11-20,10.0
2011-11-27,21.0
2011-12-04,15.0
2011-12-11,19.0
2011-12-18,9.0
2011-12-25,15.0
2012-01-01,6.0
2012-01-08,14.0
2012-01-15,14.0
2012-01-22,16.0
2012-01-29,27.0
2012-02-05,36.0
2012-02-12,33.0
2012-02-19,21.0
2012-02-26,36.0
2012-03-04,28.0
2012-03-11,22.0
2012-03-18,51.0
2012-03-25,46.0
2012-04-01,22.0
2012-04-08,16.0
2012-04-15,41.0
2012-04-22,66.0
2012-04-29,36.0
2012-05-06,43.0
2012-05-13,59.0
2012-05-20,36.0
2012-05-27,51.0
2012-06-03,63.0
2012-06-10,25.0
2012-06-17,20.0
2012-06-24,32.0
2012-07-01,47.0
2012-07-08,43.0
2012-07-15,55.0
2012-07-22,41.0
2012-07-29,38.0
2012-08-05,33.0
2012-08-12,70.0
2012-08-19,47.0
2012-08-26,45.0
2012-09-02,30.0
2012-09-09,49.0
2012-09-16,63.0
2012-09-23,46.0
2012-09-30,23.0
2012-10-07,56.0
2012-10-14,42.0
2012-10-21,67.0
2012-10-28,17.0
2012-11-04,40.0
2012-11-11,39.0
2012-11-18,15.0
2012-11-25,27.0
2012-12-02,19.0
2012-12-09,46.0
2012-12-16,12.0
2012-12-23,13.0
2012-12-30,5.0
2013-01-06,12.0
2013-01-13,19.0
2013-01-20,17.0
2013-01-27,17.0
2013-02-03,19.0
2013-02-10,9.0
2013-02-17,21.0
2013-02-24,21.0
2013-03-03,21.0
2013-03-10,17.0
2013-03-17,43.0
2013-03-24,36.0
2013-03-31,31.0
2013-04-07,47.0
2013-04-14,61.0
2013-04-21,61.0
2013-04-28,40.0
2013-05-05,32.0
2013-05-12,66.0
2013-05-19,31.0
2013-05-26,33.0
2013-06-02,29.0
2013-06-09,14.0
2013-06-16,12.0
2013-06-23,22.0
2013-06-30,51.0
2013-07-07,30.0
2013-07-14,20.0
2013-07-21,28.0
2013-07-28,30.0
2013-08-04,56.0
2013-08-11,55.0
2013-08-18,9.0
2013-08-25,23.0
2013-09-01,7.0
2013-09-08,10.0
2013-09-15,5.0
2013-09-22,32.0
2013-09-29,43.0
2013-10-06,21.0
2013-10-13,15.0
2013-10-20,35.0
2013-10-27,26.0
2013-11-03,13.0
2013-11-10,25.0
2013-11-17,29.0
2013-11-24,9.0
2013-12-01,18.0
2013-12-08,4.0
2013-12-15,17.0
2013-12-22,8.0
2013-12-29,5.0
2014-01-05,12.0
2014-01-12,6.0
2014-01-19,1.0
2014-01-26,9.0
2014-02-02,9.0
2014-02-09,8.0
2014-02-16,2.0
2014-02-23,12.0
2014-03-02,20.0
2014-03-09,14.0
2014-03-16,3.0
2014-03-23,43.0
2014-03-30,18.0
2014-04-06,31.0
2014-04-13,34.0
2014-04-20,31.0
2014-04-27,21.0
2014-05-04,26.0
2014-05-11,56.0
2014-05-18,31.0
2014-05-25,47.0
2014-06-01,25.0
2014-06-08,42.0
2014-06-15,6.0
2014-06-22,15.0
2014-06-29,31.0
2014-07-06,27.0
2014-07-13,13.0
2014-07-20,20.0
2014-07-27,30.0
