Epi week start date,case count
2010-01-03,221.0
2010-01-10,314.0
2010-01-17,263.0
2010-01-24,281.0
2010-01-31,283.0
2010-02-07,213.0
2010-02-14,192.0
2010-02-21,256.0
2010-02-28,307.0
2010-03-07,272.0
2010-03-14,259.0
2010-03-21,279.0
2010-03-28,263.0
2010-04-04,302.0
2010-04-11,288.0
2010-04-18,309.0
2010-04-25,365.0
2010-05-02,354.0
2010-05-09,488.0
2010-05-16,422.0
2010-05-23,354.0
2010-05-30,419.0
2010-06-06,514.0
2010-06-13,640.0
2010-06-20,672.0
2010-06-27,546.0
2010-07-04,472.0
2010-07-11,696.0
2010-07-18,718.0
2010-07-25,830.0
2010-08-01,837.0
2010-08-08,902.0
2010-08-15,800.0
2010-08-22,947.0
2010-08-29,803.0
2010-09-05,819.0
2010-09-12,887.0
2010-09-19,945.0
2010-09-26,919.0
2010-10-03,860.0
2010-10-10,854.0
2010-10-17,899.0
2010-10-24,718.0
2010-10-31,527.0
2010-11-07,612.0
2010-11-14,668.0
2010-11-21,455.0
2010-11-28,560.0
2010-12-05,447.0
2010-12-12,523.0
2010-12-19,350.0
2010-12-26,287.0
2011-01-02,238.0
2011-01-09,242.0
2011-01-16,178.0
2011-01-23,273.0
2011-01-30,245.0
2011-02-06,256.0
2011-02-13,284.0
2011-02-20,194.0
2011-02-27,265.0
2011-03-06,274.0
2011-03-13,208.0
2011-03-20,246.0
2011-03-27,311.0
2011-04-03,275.0
2011-04-10,344.0
2011-04-17,309.0
2011-04-24,295.0
2011-05-01,365.0
2011-05-08,452.0
2011-05-15,410.0
2011-05-22,438.0
2011-05-29,388.0
2011-06-05,559.0
2011-06-12,590.0
2011-06-19,507.0
2011-06-26,537.0
2011-07-03,471.0
2011-07-10,703.0
2011-07-17,776.0
2011-07-24,728.0
2011-07-31,1067.0
2011-08-07,731.0
2011-08-14,773.0
2011-08-21,861.0
2011-08-28,655.0
2011-09-04,617.0
2011-09-11,853.0
2011-09-18,961.0
2011-09-25,674.0
2011-10-02,614.0
2011-10-09,586.0
2011-10-16,693.0
2011-10-23,555.0
2011-10-30,587.0
2011-11-06,504.0
2011-11-13,513.0
2011-11-20,312.0
2011-11-27,468.0
2011-12-04,425.0
2011-12-11,396.0
2011-12-18,355.0
2011-12-25,297.0
2012-01-01,155.0
2012-01-08,220.0
2012-01-15,265.0
2012-01-22,220.0
2012-01-29,277.0
2012-02-05,227.0
2012-02-12,246.0
2012-02-19,198.0
2012-02-26,233.0
2012-03-04,241.0
2012-03-11,282.0
2012-03-18,286.0
2012-03-25,248.0
2012-04-01,245.0
2012-04-08,272.0
2012-04-15,293.0
2012-04-22,295.0
2012-04-29,382.0
2012-05-06,327.0
2012-05-13,435.0
2012-05-20,423.0
2012-05-27,409.0
2012-06-03,446.0
2012-06-10,424.0
2012-06-17,467.0
2012-06-24,451.0
2012-07-01,406.0
2012-07-08,470.0
2012-07-15,665.0
2012-07-22,575.0
2012-07-29,588.0
2012-08-05,840.0
2012-08-12,701.0
2012-08-19,771.0
2012-08-26,806.0
2012-09-02,657.0
2012-09-09,880.0
2012-09-16,806.0
2012-09-23,598.0
2012-09-30,726.0
2012-10-07,642.0
2012-10-14,704.0
2012-10-21,731.0
2012-10-28,784.0
2012-11-04,801.0
2012-11-11,681.0
2012-11-18,407.0
2012-11-25,512.0
2012-12-02,385.0
2012-12-09,363.0
2012-12-16,327.0
2012-12-23,163.0
2012-12-30,137.0
2013-01-06,171.0
2013-01-13,201.0
2013-01-20,204.0
2013-01-27,229.0
2013-02-03,194.0
2013-02-10,174.0
2013-02-17,184.0
2013-02-24,240.0
2013-03-03,175.0
2013-03-10,185.0
2013-03-17,278.0
2013-03-24,253.0
2013-03-31,237.0
2013-04-07,290.0
2013-04-14,331.0
2013-04-21,354.0
2013-04-28,258.0
2013-05-05,351.0
2013-05-12,408.0
2013-05-19,379.0
2013-05-26,440.0
2013-06-02,463.0
2013-06-09,397.0
2013-06-16,431.0
2013-06-23,401.0
2013-06-30,469.0
2013-07-07,643.0
2013-07-14,654.0
2013-07-21,575.0
2013-07-28,653.0
2013-08-04,612.0
2013-08-11,658.0
2013-08-18,476.0
2013-08-25,487.0
2013-09-01,542.0
2013-09-08,523.0
2013-09-15,445.0
2013-09-22,604.0
2013-09-29,744.0
2013-10-06,604.0
2013-10-13,481.0
2013-10-20,585.0
2013-10-27,557.0
2013-11-03,445.0
2013-11-10,564.0
2013-11-17,290.0
2013-11-24,280.0
2013-12-01,416.0
2013-12-08,383.0
2013-12-15,353.0
2013-12-22,259.0
2013-12-29,169.0
2014-01-05,236.0
2014-01-12,208.0
2014-01-19,214.0
2014-01-26,273.0
2014-02-02,285.0
2014-02-09,186.0
2014-02-16,206.0
2014-02-23,237.0
2014-03-02,204.0
2014-03-09,225.0
2014-03-16,195.0
2014-03-23,241.0
2014-03-30,233.0
2014-04-06,138.0
2014-04-13,266.0
2014-04-20,227.0
2014-04-27,344.0
2014-05-04,340.0
2014-05-11,336.0
2014-05-18,390.0
2014-05-25,428.0
2014-06-01,471.0
2014-06-08,422.0
2014-06-15,443.0
2014-06-22,549.0
2014-06-29,442.0
2014-07-06,552.0
2014-07-13,613.0
2014-07-20,615.0
2014-07-27,641.0
