Epi week start date,case count
2010-01-03,50.0
2010-01-10,36.0
2010-01-17,71.0
2010-01-24,87.0
2010-01-31,58.0
2010-02-07,41.0
2010-02-14,62.0
2010-02-21,78.0
2010-02-28,55.0
2010-03-07,52.0
2010-03-14,46.0
2010-03-21,68.0
2010-03-28,70.0
2010-04-04,58.0
2010-04-11,49.0
2010-04-18,62.0
2010-04-25,50.0
2010-05-02,60.0
2010-05-09,116.0
2010-05-16,93.0
2010-05-23,157.0
2010-05-30,97.0
2010-06-06,109.0
2010-06-13,131.0
2010-06-20,145.0
2010-06-27,136.0
2010-07-04,166.0
2010-07-11,139.0
2010-07-18,187.0
2010-07-25,247.0
2010-08-01,210.0
2010-08-08,279.0
2010-08-15,383.0
2010-08-22,247.0
2010-08-29,258.0
2010-09-05,199.0
2010-09-12,211.0
2010-09-19,250.0
2010-09-26,227.0
2010-10-03,254.0
2010-10-10,317.0
2010-10-17,199.0
2010-10-24,191.0
2010-10-31,225.0
2010-11-07,257.0
2010-11-14,241.0
2010-11-21,228.0
2010-11-28,353.0
2010-12-05,509.0
2010-12-12,277.0
2010-12-19,277.0
2010-12-26,200.0
2011-01-02,136.0
2011-01-09,117.0
2011-01-16,95.0
2011-01-23,163.0
2011-01-30,184.0
2011-02-06,119.0
2011-02-13,106.0
2011-02-20,121.0
2011-02-27,100.0
2011-03-06,154.0
2011-03-13,222.0
2011-03-20,181.0
2011-03-27,101.0
2011-04-03,90.0
2011-04-10,95.0
2011-04-17,111.0
2011-04-24,203.0
2011-05-01,131.0
2011-05-08,69.0
2011-05-15,183.0
2011-05-22,69.0
2011-05-29,61.0
2011-06-05,76.0
2011-06-12,67.0
2011-06-19,84.0
2011-06-26,81.0
2011-07-03,85.0
2011-07-10,79.0
2011-07-17,93.0
2011-07-24,97.0
2011-07-31,122.0
2011-08-07,259.0
2011-08-14,115.0
2011-08-21,103.0
2011-08-28,100.0
2011-09-04,162.0
2011-09-11,147.0
2011-09-18,77.0
2011-09-25,95.0
2011-10-02,148.0
2011-10-09,90.0
2011-10-16,84.0
2011-10-23,162.0
2011-10-30,184.0
2011-11-06,125.0
2011-11-13,163.0
2011-11-20,87.0
2011-11-27,178.0
2011-12-04,177.0
2011-12-11,168.0
2011-12-18,244.0
2011-12-25,174.0
2012-01-01,66.0
2012-01-08,85.0
2012-01-15,126.0
2012-01-22,130.0
2012-01-29,164.0
2012-02-05,147.0
2012-02-12,179.0
2012-02-19,128.0
2012-02-26,212.0
2012-03-04,191.0
2012-03-11,232.0
2012-03-18,215.0
2012-03-25,101.0
2012-04-01,326.0
2012-04-08,274.0
2012-04-15,334.0
2012-04-22,302.0
2012-04-29,334.0
2012-05-06,391.0
2012-05-13,468.0
2012-05-20,507.0
2012-05-27,414.0
2012-06-03,487.0
2012-06-10,483.0
2012-06-17,187.0
2012-06-24,399.0
2012-07-01,374.0
2012-07-08,368.0
2012-07-15,469.0
2012-07-22,455.0
2012-07-29,394.0
2012-08-05,437.0
2012-08-12,334.0
2012-08-19,410.0
2012-08-26,413.0
2012-09-02,353.0
2012-09-09,444.0
2012-09-16,361.0
2012-09-23,289.0
2012-09-30,402.0
2012-10-07,324.0
2012-10-14,255.0
2012-10-21,195.0
2012-10-28,159.0
2012-11-04,221.0
2012-11-11,206.0
2012-11-18,186.0
2012-11-25,262.0
2012-12-02,283.0
2012-12-09,238.0
2012-12-16,202.0
2012-12-23,167.0
2012-12-30,41.0
2013-01-06,94.0
2013-01-13,117.0
2013-01-20,141.0
2013-01-27,130.0
2013-02-03,171.0
2013-02-10,160.0
2013-02-17,135.0
2013-02-24,137.0
2013-03-03,127.0
2013-03-10,77.0
2013-03-17,130.0
2013-03-24,132.0
2013-03-31,144.0
2013-04-07,202.0
2013-04-14,113.0
2013-04-21,178.0
2013-04-28,151.0
2013-05-05,210.0
2013-05-12,184.0
2013-05-19,189.0
2013-05-26,151.0
2013-06-02,196.0
2013-06-09,145.0
2013-06-16,154.0
2013-06-23,115.0
2013-06-30,183.0
2013-07-07,217.0
2013-07-14,223.0
2013-07-21,246.0
2013-07-28,237.0
2013-08-04,220.0
2013-08-11,292.0
2013-08-18,111.0
2013-08-25,129.0
2013-09-01,123.0
2013-09-08,115.0
2013-09-15,103.0
2013-09-22,210.0
2013-09-29,193.0
2013-10-06,140.0
2013-10-13,139.0
2013-10-20,262.0
2013-10-27,217.0
2013-11-03,225.0
2013-11-10,203.0
2013-11-17,119.0
2013-11-24,203.0
2013-12-01,262.0
2013-12-08,267.0
2013-12-15,282.0
2013-12-22,126.0
2013-12-29,80.0
2014-01-05,159.0
2014-01-12,128.0
2014-01-19,151.0
2014-01-26,158.0
2014-02-02,186.0
2014-02-09,123.0
2014-02-16,127.0
2014-02-23,122.0
2014-03-02,155.0
2014-03-09,128.0
2014-03-16,133.0
2014-03-23,122.0
2014-03-30,158.0
2014-04-06,116.0
2014-04-13,116.0
2014-04-20,108.0
2014-04-27,179.0
2014-05-04,161.0
2014-05-11,209.0
2014-05-18,206.0
2014-05-25,177.0
2014-06-01,261.0
2014-06-08,210.0
2014-06-15,229.0
2014-06-22,216.0
2014-06-29,210.0
2014-07-06,217.0
2014-07-13,253.0
2014-07-20,242.0
2014-07-27,293.0
