Epi week start date,Whooping cough,Rabies,Salmonellosis,E. coli infection
2010-01-03,5.0,4.0,57.0,4.0
2010-01-10,2.0,5.0,275.0,8.0
2010-01-17,57.0,6.0,75.0,17.0
2010-01-24,22.0,51.0,358.0,31.0
2010-01-31,7.0,17.0,163.0,13.0
2010-02-07,6.0,31.0,178.0,9.0
2010-02-14,13.0,27.0,294.0,30.0
2010-02-21,11.0,12.0,495.0,18.0
2010-02-28,8.0,1.0,711.0,20.0
2010-03-07,19.0,5.0,1066.0,39.0
2010-03-14,8.0,29.0,569.0,34.0
2010-03-21,39.0,13.0,233.0,16.0
2010-03-28,26.0,32.0,275.0,9.0
2010-04-04,103.0,10.0,86.0,18.0
2010-04-11,38.0,42.0,133.0,19.0
2010-04-18,113.0,15.0,150.0,33.0
2010-04-25,139.0,46.0,53.0,29.0
2010-05-02,196.0,42.0,631.0,82.0
2010-05-09,295.0,23.0,745.0,68.0
2010-05-16,493.0,4.0,498.0,50.0
2010-05-23,144.0,28.0,397.0,34.0
2010-05-30,326.0,14.0,668.0,73.0
2010-06-06,282.0,14.0,174.0,45.0
2010-06-13,119.0,22.0,681.0,57.0
2010-06-20,418.0,35.0,270.0,73.0
2010-06-27,240.0,14.0,594.0,47.0
2010-07-04,224.0,14.0,304.0,51.0
2010-07-11,302.0,56.0,623.0,97.0
2010-07-18,124.0,24.0,625.0,68.0
2010-07-25,157.0,27.0,914.0,73.0
2010-08-01,169.0,26.0,782.0,76.0
2010-08-08,185.0,14.0,679.0,50.0
2010-08-15,214.0,27.0,2161.0,97.0
2010-08-22,120.0,19.0,2673.0,113.0
2010-08-29,228.0,31.0,2420.0,133.0
2010-09-05,252.0,2.0,742.0,60.0
2010-09-12,390.0,14.0,716.0,66.0
2010-09-19,301.0,34.0,1011.0,101.0
2010-09-26,245.0,9.0,172.0,38.0
2010-10-03,36.0,16.0,202.0,13.0
2010-10-10,149.0,10.0,63.0,9.0
2010-10-17,57.0,19.0,203.0,16.0
2010-10-24,96.0,2.0,222.0,18.0
2010-10-31,223.0,9.0,108.0,12.0
